LensID,Title,true_category,predicted_one,confidence_one,predicted_two,confidence_two
093-089-709-185-207,"MATERIAL CAPABLE OF PRODUCING BARRIER EFFECT TOWARDS MAGNETIC AND ELECTROMAGNETIC FIELDS AND/OR THERAPEUTIC EFFECT, CLOTHING OR THE COMPONENT OF CLOTHING, SANITARY CLOTHING, FOOTWEAR OR THE COMPONENT OF FOOTWEAR, ELEMENT OF INTERIOR DECORATION, COVERING OF ELEMENTS OF INTERIOR DECORATION AND COMPONENT OF BED LINEN",Metal Textiles,Metal Textiles,0.85,Synthetic Textiles,0.08
105-960-545-134-312,Improvements in the Manufacture of Metallic Fabrics.,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
115-002-645-412-539,THREE-DIMENSIONAL NETS FROM NOBLE METALS FOR PERFORMING CATALYTIC REACTIONS OF GASES,Metal Textiles,Metal Textiles,0.95,Other,0.02
107-387-871-310-645,"Silver yarn, plied yarn silver yarn, functional fabric using same, and method for producing same",Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.01
055-198-091-295-280,Safety belt and method for producing a safety belt,Metal Textiles,Metal Textiles,0.65,Synthetic Textiles,0.2
109-529-650-815-109,Flexible structures for sensors and electronics,Metal Textiles,Other,0.93,Synthetic Textiles,0.03
117-137-817-106-628,High temperature dynamic sealing material and preparation method thereof,Metal Textiles,Metal Textiles,0.65,Natural Textiles,0.25
114-576-938-093-54X,OVEN GASKET ATTACHMENT CLIPS,Metal Textiles,Mineral Textiles,0.55,Metal Textiles,0.45
128-303-643-318-232,Woven or knitted fabric prepared from a concave-convex patterned metal fiber yarn,Metal Textiles,Metal Textiles,0.99,Other,0.01
118-058-162-160-092,Controllable surface area fabric,Metal Textiles,Metal Textiles,0.9,Natural Textiles,0.03
117-555-772-690-999,Fabric-Based Items Having Strands With Embedded Components,Metal Textiles,Synthetic Textiles,0.92,Other,0.05
124-299-060-002-493,"A Protective Wire Net, A Protective Structure Constructed With the Net, and the Use of the Protective Wire Net for the Construction of A Protective Structure",Metal Textiles,Metal Textiles,0.96,Natural Textiles,0.01
116-637-444-674-570,COMPOSITE FIBER,Metal Textiles,Metal Textiles,0.65,Mineral Textiles,0.25
136-423-147-157-376,METAL FABRICS,Metal Textiles,Metal Textiles,1.0,Natural Textiles,0.0
132-904-217-324-857,TEXTILE FABRIC COMPRISING BUNDLES OF MACHINED METAL FILAMENTS,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
116-603-974-365-825,Conductive heating fiber fabric with incision and connection structure thereof,Metal Textiles,Metal Textiles,0.5,Synthetic Textiles,0.35
150-896-535-165-893,"STEEL WIRE MESH MADE OF STEEL WIRES HAVING HEXAGONAL LOOPS, PRODUCTION DEVICE, AND PRODUCTION METHOD.",Metal Textiles,Metal Textiles,1.0,Natural Textiles,0.0
167-715-017-158-863,"FABRIC, PARTICULARLY FOR JEWELRY, CLOTHING, AND TECHNICAL OR RESEARCH PURPOSES",Metal Textiles,Other,0.92,Metal Textiles,0.02
151-480-427-016-492,Composite termite barrier,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
147-158-751-976-743,STEEL CORD,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
159-005-756-825-061,METAL ALLOY KNIT FABRIC FOR HIGH TEMPERATURE INSULATING MATERIALS,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
144-346-264-182-769,"Yarn, yarn forming process, protective textile and knitting method and device",Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.04
123-155-387-974-228,Microfiber cleaner mixed with metallic yarn,Metal Textiles,Metal Textiles,0.85,Synthetic Textiles,0.1
161-627-272-376-392,METAL OXIDE NANOFIBER ELECTRODE AND METHOD,Metal Textiles,Metal Textiles,0.9,Mineral Textiles,0.06
159-968-773-316-519,Hysteresis in textile sensor,Metal Textiles,Other,0.9,Metal Textiles,0.025
154-523-220-092-072,PRODUCTS COMPRISING REINFORCING FIBRES AND SHAPE MEMORY ALLOY WIRES AND METHODS OF MAKING THEREOF,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.02
155-970-630-328-528,"WIRES INCORPORATING A HELICAL COMPONENT, ASSEMBLIES THEREOF, AND USE OF SAID ASSEMBLIES AS CATALYSER AND/OR TO RECOVER PRECIOUS METALS",Metal Textiles,Metal Textiles,0.9,Mineral Textiles,0.05
165-416-145-064-463,"Weaving process to manufacture a thermoelectric label, e.g. for powering hidden microphones, alternately inserting weft threads of electrically conducting material",Metal Textiles,Metal Textiles,0.95,Other,0.02
161-556-864-262-473,"WOVEN OR KNITTED FABRIC, DIAPHRAGM FOR SPEAKER, AND SPEAKER",Metal Textiles,Metal Textiles,0.75,Synthetic Textiles,0.15
134-477-324-045-473,Manufacturing technology of high-tenacity string,Metal Textiles,Metal Textiles,0.55,Synthetic Textiles,0.35
169-259-364-478-075,CONDUCTIVE FABRIC AND METHOD AND APPARATUS FOR MANUFACTURING SAME,Metal Textiles,Metal Textiles,0.85,Other,0.1
172-983-230-815-764,HOLLOW METAL FIBER FOR ABSORBING ELECTROMAGNETIC WAVE AND ITS MANUFACTURING METHOD,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.03
168-450-832-252-325,VIBRATORY SCREEN,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.04
171-026-675-907-919,METAL-CARBON NANOFIBER AND PRODUCTION METHOD THEREOF,Metal Textiles,Metal Textiles,0.88,Synthetic Textiles,0.04
162-353-091-803-923,Tessuto conduttivo ad elevata versatilità di impiego.,Metal Textiles,Metal Textiles,0.85,Synthetic Textiles,0.07
190-965-337-718-052,Knitted metal wire catalysts for exhaust gas conversion,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
184-493-906-786-056,Garment with unit coil intermeshing electric power storage function,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
158-328-913-994-740,AN ELECTRICALLY CONDUCTIVE TEXTILE,Metal Textiles,Metal Textiles,0.85,Synthetic Textiles,0.08
194-574-311-905-527,Cut resistant rope,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
190-134-529-002-465,Alloy wire and preparation method and application thereof,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
196-827-992-259-81X,PRESS PAD FOR USE IN SINGLE- OR MULTI-DAYLIGHT HOT PRESSES,Metal Textiles,Metal Textiles,0.85,Synthetic Textiles,0.1
002-310-147-686-745,"Verfahren zur Herstellung eines Kalkfängergestricks, Kalkfängereinrichtung, Verfahren zum Filtern von Kalk sowie Verwendung hierzu",Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
193-764-393-063-829,METALLIC FIBER NON-WOVEN FABRIC AND ITS PRODUCTION METHOD.,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.02
188-519-074-310-933,"Infrared wall surface heater for use in home and operating hall, has electric conductors lying transverse to carbon threads at both ends of heating element that is electrically protected by layers of electrically insulating films",Metal Textiles,Mineral Textiles,0.85,Metal Textiles,0.1
007-980-200-890-417,FABRIC STRUCTURE COMPRISING SILVER-GERMANIUM-COPPER ALLOY,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
197-965-080-906-203,Tungsten filament yarn and textile thereof,Metal Textiles,Metal Textiles,0.85,Synthetic Textiles,0.08
002-201-040-412-776,MANUFACTURING METHOD OF METAL FIBER IMMOBILIZED BY PHOTOCATALYST.NANOSILVER,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
000-497-575-062-103,CATALYSTS AND GETTER SYSTEMS,Metal Textiles,Other,0.8,Metal Textiles,0.05
005-272-528-894-884,Alloy wire rod and preparation method and application thereof,Metal Textiles,Metal Textiles,0.85,Mineral Textiles,0.1
018-400-715-086-255,ELECTROMAGNETIC WAVE SHIELDING FABRIC,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
182-272-021-129-698,SEMICONDUCTING MATERIALS WITH SURROUNDING RADIAL P-N DIODES,Metal Textiles,Other,0.75,Metal Textiles,0.2
003-725-830-034-056,ELECTROMAGNETICALLY SHIELDING MATERIAL,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.03
016-218-172-568-819,"A protective metal netting with interwoven wires, and a machine and a method for its manufacture",Metal Textiles,Metal Textiles,0.96,Natural Textiles,0.01
022-583-688-805-865,Gewebe mit durch eine Drehverbindung gebundenen metallischen Elementen,Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.004
018-657-038-051-701,METHOD FOR THE PRODUCTION OF A FIBROUS METAL STRUCTURE BY WEAVING,Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.01
168-674-114-922-374,Composite fiber,Metal Textiles,Metal Textiles,0.45,Mineral Textiles,0.45
013-526-318-040-503,PROTECTIVE MESH IN PARTICULAR FOR ROCKFALL PROTECTION OR FOR SLOPE STABILISATION,Metal Textiles,Metal Textiles,0.7,Synthetic Textiles,0.2
031-073-202-204-434,TUBE FOR INTRODUCTION TO OBJECT,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.03
024-611-272-946-152,Glove and Glove manufacturing method using tungsten yarn,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.03
016-475-557-553-957,Recyclable medical stent and preparation method thereof,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.03
012-702-188-468-07X,Smart Mask,Metal Textiles,Metal Textiles,0.85,Other,0.06
018-995-339-187-487,FABRICATION METHOD OF SILVER NANO FIBER PREPARED BY 3-STEPS HEATING,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.03
035-399-839-504-982,"STEEL WIRE MESH MADE OF STEEL WIRES HAVING HEXAGONAL LOOPS, PRODUCTION DEVICE, AND PRODUCTION METHOD",Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
054-677-533-480-574,Metal fabrics,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
042-216-152-613-217,WIRING BOARD AND METHOD FOR MANUFACTURING THE SAME,Metal Textiles,Metal Textiles,0.9,Other,0.05
059-865-973-909-995,Thin textile fabric comprising bundles of metal filaments,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
057-210-684-451-834,CONDUCTIVE FABRIC AND METHOD AND APPARATUS FOR MANUFACTURING SAME,Metal Textiles,Metal Textiles,0.95,Other,0.02
070-823-860-875-146,Burner membrane comprising machined metal fiber bundles,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
019-176-961-268-92X,Manufacturing technology of flame-retardant fireproof roller shutter surface,Metal Textiles,Metal Textiles,0.6,Mineral Textiles,0.4
036-966-544-123-466,Protective mesh in particular for rockfall protection or for slope stabilisation,Metal Textiles,Metal Textiles,0.65,Synthetic Textiles,0.3
034-713-366-088-304,ELECTRICALLY CONDUCTIVE PAD AND MANUFACTURING METHOD THEREOF,Metal Textiles,Metal Textiles,0.85,Synthetic Textiles,0.05
059-371-596-862-879,VERFAHREN ZUR HERSTELLUNG VON GASDURCHLAESSIGEN NETZEN AUS EDELMETALLEN FUER KATALYTISCHE PROZESSE.,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
061-277-664-358-326,"Metal mesh, arrangement of a metal mesh and method for illumination",Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
076-881-889-116-681,"A protective metal netting with interwoven wires, and a machine and a method for its manufacture",Metal Textiles,Metal Textiles,0.96,Natural Textiles,0.01
073-765-663-207-049,A PROTECTIVE METAL NETTING AND A MACHINE AND A METHOD FOR ITS MANUFACTURE,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
075-137-460-278-168,"METHOD OF PRODUCING FIBERS, THREADS, WOVEN FABRICS, OR NON-WOVEN FABRICS IMPARTED WITH METALLIC PROPERTIES",Metal Textiles,Metal Textiles,0.95,Other,0.02
048-710-739-808-170,COMPLEX SHEET FOR ABSORBING/EXTINGUISHING AND SHIELDING ELECTROMAGNETIC WAVES AND HIGHLY DISSIPATING HEAT FROM ELECTRONIC DEVICE AND MANUFACTURING METHOD THEREFOR,Metal Textiles,Metal Textiles,0.85,Synthetic Textiles,0.1
063-145-697-085-764,ANTI-VANDAL FABRIC WITH METALLIC YARNS,Metal Textiles,Metal Textiles,0.95,Natural Textiles,0.02
048-403-807-261-999,Cutting-resistant twisted metal yarn,Metal Textiles,Metal Textiles,0.5,Mineral Textiles,0.4
075-352-383-081-266,COPPER FIBER NONWOVEN FABRIC,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
073-806-190-511-54X,Interlocking stitches-on seams of knitted stockings,Metal Textiles,Other,0.6,Natural Textiles,0.15
068-350-779-962-892,"STEEL WIRE MESH MADE OF STEEL WIRES HAVING HEXAGONAL LOOPS, PRODUCTION DEVICE, AND PRODUCTION METHOD",Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.01
096-533-897-325-349,Metal fabric and method of making a metal fabric,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
066-747-831-378-11X,Textile pressure sensor,Metal Textiles,Other,0.7,Metal Textiles,0.075
085-271-716-013-041,"Improved Metallic Fabrics for Clothing, Upholstering an other Purposes.",Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.003
101-893-633-290-38X,Nonwoven copper fabric and process for producing nonwoven copper fabric,Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.005
072-873-704-468-184,PROCESS AND APPARATUS FOR MANUFACTURING A METALLIC REINFORCING CORD FOR TYRES FOR VEHICLE WHEELS,Metal Textiles,Metal Textiles,0.95,Other,0.02
099-933-806-648-006,COMBUSTION MEMBRANE FOR A GAS BURNER,Metal Textiles,Metal Textiles,1.0,Natural Textiles,0.0
103-895-041-457-889,"SCHUTZNETZ AUS DRAHT, SCHUTZEINRICHTUNG MIT EINEM SOLCHEN SCHUTZNETZ UND VERWENDUNG EINES SOLCHEN SCHUTZNETZES ZUM AUFBAU DER SCHUTZEINRICHTUNG",Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
117-156-000-807-458,"Metal fabric, sheet set, decoration, stationery, container and method of manufacturing container",Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.003
114-363-022-301-864,FABRIC STRUCTURE,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
113-304-834-849-028,FABRIC SUITABLE TO PROVIDE A BARRIER EFFECT AGAINST MAGNETIC AND ELECTROMAGNETIC FIELDS AND/OR METALLOTHERAPY EFFECTS,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
081-989-847-431-929,Halbzeug aus Metallgewebe,Metal Textiles,Metal Textiles,0.999,Other,0.001
075-685-047-563-739,ROOFING ACCESSORIES WITH RADIOFREQUENCY RADIATION SHIELDING CAPABILITIES AND METHODS OF MAKING AND USE THEREOF,Metal Textiles,Metal Textiles,0.7,Synthetic Textiles,0.1
115-868-063-489-111,Items with conductive yarn,Metal Textiles,Metal Textiles,0.95,Other,0.02
125-232-825-684-087,Drahtgewebe,Metal Textiles,Metal Textiles,0.9,Natural Textiles,0.025
137-652-088-489-076,WOVEN FABRIC HAVING WEFT WIRES AND ITS USE AND METHOD FOR INSTALLING A HANGING FOR A BUILDING,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
145-611-054-127-201,Metallic network garment capable of charging mobile phone,Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.003
139-653-944-716-575,Apparatus for supplying metallic yarn,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
135-062-915-310-007,CONDUCTIVE MONOFILAMENT AND FABRIC,Metal Textiles,Synthetic Textiles,0.88,Metal Textiles,0.05
136-495-962-270-909,Chinstrap sock with metal-containing yarn,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
137-663-135-714-621,COPPER YARN,Metal Textiles,Metal Textiles,0.96,Natural Textiles,0.02
142-278-260-434-59X,"""AN ELECTRICALLY CONDUCTIVE TEXTILE""",Metal Textiles,Metal Textiles,0.95,Other,0.02
149-697-652-612-501,"A STRUCTURE FOR THE REINFORCEMENT OF PAVEMENTS COMPRISING ASSEMBLIES OF GROUPED METAL FILAMENTS IN A PARALLEL POSITION, METHOD OF MANUFACTURE AND INSTALLATION",Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
143-269-324-304-949,SCALABLE METHOD OF PRODUCING POLYMER-METAL NANOCOMPOSITE MATERIALS,Metal Textiles,Metal Textiles,0.85,Synthetic Textiles,0.1
151-879-899-588-346,An electrically conductive textile,Metal Textiles,Metal Textiles,0.85,Natural Textiles,0.05
157-213-908-904-652,METALLISIERTE GEWEBE- ODER GEWIRKBAHN.,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
128-200-944-916-277,CONDUCTIVE MONOFILAMENT AND FABRIC.,Metal Textiles,Synthetic Textiles,0.7,Metal Textiles,0.2
140-417-214-613-532,TEXTILE DIGITAL BAND AND FABRITICATING METHOD THEREOF,Metal Textiles,Metal Textiles,0.75,Synthetic Textiles,0.2
157-522-977-516-265,A MASONRY REINFORCEMENT STRUCTURE COMPRISING PARALLEL ASSEMBLIES OF GROUPED METAL FILAMENTS AND A POLYMER COATING.,Metal Textiles,Metal Textiles,0.98,Synthetic Textiles,0.01
162-238-841-098-490,Reinforcing structure for stiff composite articles,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
150-487-161-082-817,HEAT-SHRUNK TEXTILE SLEEVE WITH EXTENDED ELECTRO-FUNCTIONAL YARN AND METHOD OF CONSTRUCTION THEREOF,Metal Textiles,Metal Textiles,0.7,Synthetic Textiles,0.2
160-899-128-360-778,Adjustable belt tensioning utilizing active material actuation,Metal Textiles,Other,0.95,Mineral Textiles,0.02
122-140-803-138-918,"POWER-GENERATING INSOLE, POWER-GENERATING BLANKET AND POWER-GENERATING SOCK",Metal Textiles,Metal Textiles,0.65,Synthetic Textiles,0.3
167-933-384-655-242,DEVICE FOR DIRECT AND REVERSIBLE CONVERSION OF THERMAL ENERGY INTO ELECTRICAL ENERGY,Metal Textiles,Metal Textiles,0.85,Mineral Textiles,0.1
150-940-433-215-533,"Stromleitende, Nässe haltende Struktur",Metal Textiles,Metal Textiles,0.85,Synthetic Textiles,0.1
140-365-372-469-968,"Method for detecting and remotely managing sensors and/or devices for feeding textile and/or metallic yarns installed on one or more textile machines, and system thereof",Metal Textiles,Other,0.85,Metal Textiles,0.1
198-928-097-099-923,TEMPERATURE CONTROLLABLE TEXTILE AND WEARABLE ASSEMBLY THEREOF,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
176-636-760-569-934,High-strength metallic yarn and fabric,Metal Textiles,Metal Textiles,0.9,Natural Textiles,0.05
153-972-241-349-532,"Verfahren zum Herstellen einer strukturierten Materialbahn aus gewirkten, gestrickten oder gewebten Fäden und Verwendung derselben",Metal Textiles,Other,0.94,Natural Textiles,0.02
163-147-526-265-052,Knitting of precious metal networks and a method using same,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
051-005-543-570-863,Metallic flat clothing,Metal Textiles,Metal Textiles,0.97,Natural Textiles,0.01
164-343-841-954-047,FIBROUS STRUCTURE FOR REINFORCING COMPONENTS MADE OF COMPOSITE MATERIAL WITH A GREAT VARIATION IN THICKNESS,Metal Textiles,Other,0.5,Synthetic Textiles,0.2
171-853-600-986-500,Press pad,Metal Textiles,Metal Textiles,0.95,Other,0.05
131-731-665-952-997,"Textile surface and textile material for absorbing electromagnetic waves, and protective device comprising a textile surface or textile material",Metal Textiles,Metal Textiles,0.9,Synthetic Textiles,0.08
149-860-845-364-185,"Textile product comprising metal cords and non-metallic fibers, and a semifinished sheet comprising such textile product",Metal Textiles,Metal Textiles,0.9,Natural Textiles,0.03
186-994-113-748-883,METHOD FOR PRODUCING METALLISED TEXTILE SURFACES USING ELECTRICITY-GENERATING OR ELECTRICITY-CONSUMING ELEMENTS,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
188-027-207-364-089,"Composite yarn, intermediate fabric product and method of producing a metallic fabric",Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.04
162-302-922-854-159,TEXTILE WIRES WITH ELASTICITY,Metal Textiles,Metal Textiles,0.9,Synthetic Textiles,0.05
129-047-415-652-956,Solid-wood metallic fabric composite soundboard,Metal Textiles,Metal Textiles,0.9,Mineral Textiles,0.04
055-495-299-010-396,Method for producing metallised textile surfaces using electricity-generating or electricity-consuming elements,Metal Textiles,Metal Textiles,0.96,Natural Textiles,0.01
078-239-261-651-923,"Metallic fiber nonwoven fabric manufacturing apparatus, its manufacturing method and laminated aluminum material manufacturing method",Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
056-463-084-689-477,"FLAT STRUCTURE, PARTICULARLY TEXTILE, CONTAINING PRECIOUS METAL WIRE",Metal Textiles,Metal Textiles,0.95,Other,0.02
036-586-417-498-48X,METALLIC FIBER FABRIC FOR PARABOLIC ANTENNA AND MANUFACTURE THEREOF,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
081-538-060-172-019,A METAL ELEMENT BASED TEXTILE PRODUCT AND A METHOD FOR FABRICATING,Metal Textiles,Metal Textiles,0.95,Other,0.02
012-773-107-247-100,METALLIC FIBER NONWOVEN FABRIC-IMMOBILIZED MESOSTRUCTURE,Metal Textiles,Metal Textiles,0.9,Mineral Textiles,0.04
089-672-046-322-445,"NOVEL METAL POLYOXIDE, AND FUNCTIONAL FIBER OR TEXTILE PREPARED USING METAL POLYOXIDE",Metal Textiles,Metal Textiles,0.9,Synthetic Textiles,0.05
148-707-341-200-470,Composite fabric deformable and extendable in all directions and including metallic elements,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.05
157-718-357-965-187,Production process of metallic yarn weft elastic forging fabric,Metal Textiles,Metal Textiles,0.97,Natural Textiles,0.01
172-738-746-580-418,ELECTRICALLY CONDUCTIVE TEXTILE ELEMENT AND METHOD OF PRODUCING SAME,Metal Textiles,Metal Textiles,0.95,Other,0.02
101-586-968-881-851,Thermoelectric textile transducers,Metal Textiles,Metal Textiles,0.9,Other,0.04
175-955-516-829-222,APPARATUS AND METHOD FOR THE VACUUM METALLIZATION OF TEXTILE MATERIALS AND THE LIKE,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
190-024-956-872-994,RESIN FINISHED SILVER YARN TEXTILES AND COMBINATION/CONNECTION-TREATED SILVER YARN TEXTILES IN IT'S SILVER YARN TEXTILES,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
195-872-495-884-493,Metallized breathable composite textile,Metal Textiles,Metal Textiles,0.85,Synthetic Textiles,0.1
002-441-976-575-022,"Item including a laminated, metallized textile layer, in particular for sun protection, and method for grafting a metal layer in order to obtain said item",Metal Textiles,Metal Textiles,0.91,Synthetic Textiles,0.07
153-807-744-836-456,An electrically conductive textile,Metal Textiles,Metal Textiles,0.75,Mineral Textiles,0.1
135-317-755-085-673,Gewebtes flexibles Heizgewebe und Verfahren zur Herstellung eines solchen Heizgewebes,Metal Textiles,Metal Textiles,0.75,Synthetic Textiles,0.15
021-586-769-534-726,Antimicrobial coated textiles and method of preparation thereof,Metal Textiles,Other,0.85,Mineral Textiles,0.09
021-244-690-808-122,"Textile coating formulations comprising crosslinkable liquid silicones, metal alkoxides and functional coreactants",Metal Textiles,Other,0.92,Mineral Textiles,0.03
138-346-418-332-372,"Metallic fiber nonwoven fabric manufacturing apparatus, its manufacturing method and laminated aluminum material manufacturing method",Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
099-768-636-039-366,"TEXTILE SURFACE AND TEXTILE MATERIAL FOR ABSORBING ELECTROMAGNETIC WAVES, AND PROTECTIVE DEVICE COMPRISING A TEXTILE SURFACE OR TEXTILE MATERIAL",Metal Textiles,Metal Textiles,0.75,Synthetic Textiles,0.2
111-322-162-463-080,METALLIC FIBER NON-WOVEN FABRIC AND ITS PRODUCTION METHOD,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
196-258-638-959-656,Electronic textiles with electronic devices on ribbons,Metal Textiles,Other,0.95,Metal Textiles,0.02
029-387-455-906-741,High-antibacterial metallic yarn interwoven fabric,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
186-895-010-460-605,BREATHABLE TEXTILE FOR AWNING,Metal Textiles,Metal Textiles,0.98,Synthetic Textiles,0.01
026-760-039-152-104,"FUNCTIONAL TEXTILE, METHOD FOR FORMING A FUNCTIONAL TEXTILE, AND USE OF A FUNCTIONAL TEXTILE",Metal Textiles,Metal Textiles,0.95,Other,0.02
167-950-525-044-053,Spacer textile and use thereof,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.02
044-915-438-510-307,Stab Resistant Insert for Protective Textile Product,Metal Textiles,Metal Textiles,0.99,Synthetic Textiles,0.003
164-342-933-096-065,FUNCTIONAL TEXTILES,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
100-587-396-311-826,"METHOD OF PRODUCING SINTERED BODIES OF METALLIC FIBER, AND METALLIC NONWOVEN FABRIC SINTERED SHEET",Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
093-620-656-078-363,Use of metallized sheet-form textile materials as reflection and polarization control media for microwaves,Metal Textiles,Metal Textiles,0.95,Natural Textiles,0.02
084-913-610-635-040,ELECTRICALLY CONDUCTIVE FABRIC AND METALLIC FABRIC,Metal Textiles,Metal Textiles,0.7,Synthetic Textiles,0.25
037-155-582-940-886,Textile fabric structure,Metal Textiles,Other,0.9,Metal Textiles,0.05
