#,Title,Abstract,CPC Classifications,IPCR Classifications,Combined,Keyphrases
30,"Modacrylic, lyocell and nylon blended flame-retardant fabric","The invention discloses a modacrylic, lyocell and nylon blended flame-retardant fabric. Yarn in the flame-retardant fabric contains, by mass, 40-70% of modacrylic, 20-52% of lyocell and 5-15% of nylon. Due to effective cooperation of modacrylic, lyocell and nylon, it can be guaranteed that after-flame time of the fabric under GB/T 5455 test conditions can be controlled not longer than 2 seconds, and afterglow time is controlled not longer than 2 or 5 seconds.",D03D13/00;;D03D13/008;;D03D15/513;;D10B2201/22;;D10B2201/24;;D10B2321/10;;D10B2331/02;;D02G3/443;;D03D15/513;;D10B2201/24;;D10B2321/101;;D10B2331/02;;D02G3/443;;D03D15/513,D03D15/12;;D03D13/00,"Modacrylic, lyocell and nylon blended flame-retardant fabric The invention discloses a modacrylic, lyocell and nylon blended flame-retardant fabric. Yarn in the flame-retardant fabric contains, by mass, 40-70% of modacrylic, 20-52% of lyocell and 5-15% of nylon. Due to effective cooperation of modacrylic, lyocell and nylon, it can be guaranteed that after-flame time of the fabric under GB/T 5455 test conditions can be controlled not longer than 2 seconds, and afterglow time is controlled not longer than 2 or 5 seconds.",
31,"Acrylic polymer, plastisol, and textile ink","There are provided an acrylic polymer and plastisol using which a textile ink having excellent washing resistance and crocking resistance can be produced and a textile ink having excellent washing resistance and crocking resistance. The acrylic polymer of the present invention is an acrylic polymer comprising an acetone-soluble portion (A) and an acetone-insoluble portion (B), and the content of the acetone-insoluble portion (B) in the acrylic polymer is 5 mass % to 29 mass %, and the content of methyl methacrylate units in the acetone-soluble portion (A) is 60 mass % to 85 mass %.",C08F220/14;;C08F20/14;;C08J3/12;;C09D11/107;;C09D133/12;;C08F220/14;;C08F14/06;;C08F220/1808;;C08F220/308;;C08F220/32;;C08F228/02;;C08F236/20;;C08J3/12;;C08K5/0016;;D06P1/5228;;D06P1/5235,C08F220/14;;C08F14/06;;C08F220/18;;C08F220/30;;C08F220/32;;C08F228/02;;C08F236/20;;C08J3/12;;C08J3/18;;C08K5/00;;C09D11/107;;D06P1/52,"Acrylic polymer, plastisol, and textile ink There are provided an acrylic polymer and plastisol using which a textile ink having excellent washing resistance and crocking resistance can be produced and a textile ink having excellent washing resistance and crocking resistance. The acrylic polymer of the present invention is an acrylic polymer comprising an acetone-soluble portion (A) and an acetone-insoluble portion (B), and the content of the acetone-insoluble portion (B) in the acrylic polymer is 5 mass % to 29 mass %, and the content of methyl methacrylate units in the acetone-soluble portion (A) is 60 mass % to 85 mass %.",
32,Buoyant Water Purification Pad,"A contaminant sorptive buoyant pad is provided to preferentially absorb or adsorb contaminants from a water body surface. The pad includes a laminar core which is formed from side-by-side stacked layers of superabsorbent meltblown polypropylene microfiber fabric, and which has a density less than water. The porosity and inter-layer spacing between adjacent stacked layers is selected to facilitate contaminate absorptive and the capillary movement and wicking of hydrocarbons and other contaminants from the water surface into the pad interior.",C02F1/40;;B01J20/261;;B01J20/28011;;B01J20/28035;;B01J20/28042;;C02F1/288;;D04H1/4291;;D04H1/56;;D04H3/007;;D04H3/14;;D04H3/16;;E02B15/045;;E02B15/06;;C02F1/285;;C02F2101/32;;C02F2103/007;;C02F2103/08;;C02F2103/42;;D10B2321/022;;D10B2401/021;;D10B2505/00,C02F1/40;;B01J20/26;;B01J20/28;;C02F1/28;;D04H1/4291;;D04H1/56;;D04H3/007;;D04H3/14;;D04H3/16;;E02B15/04;;E02B15/06,"Buoyant Water Purification Pad A contaminant sorptive buoyant pad is provided to preferentially absorb or adsorb contaminants from a water body surface. The pad includes a laminar core which is formed from side-by-side stacked layers of superabsorbent meltblown polypropylene microfiber fabric, and which has a density less than water. The porosity and inter-layer spacing between adjacent stacked layers is selected to facilitate contaminate absorptive and the capillary movement and wicking of hydrocarbons and other contaminants from the water surface into the pad interior.",
33,"FLAMEPROOF POLYPHENYLENE ETHER FORMED BODY, FLAMEPROOF POLYPHENYLENE ETHER FIBER FORMED BODY, CARBON FORMED BODY, ACTIVATED CARBON FORMED BODY, AND METHOD FOR MANUFACTURING SAME",A flameproof polyphenylene ether formed body of the present invention has a minimum value (%/° C.) of −0.40%/° C. or more and −0.10%/° C. or less in a differential thermogravimetric curve in a range of 400° C. to 550° C.,D04H1/4242;;D01F9/24;;D01F6/66;;C01B32/318;;D04H1/46;;D01F9/24;;C01B32/318;;D01F6/66;;D04H1/4242;;D10B2401/04;;D10B2401/063;;C01B32/318;;C01B32/336;;D04H1/43918;;D04H1/4242;;D04H1/4326;;D04H1/46;;D06C7/04;;D10B2331/06;;D10B2401/04,D04H1/4242;;C01B32/318;;C01B32/336;;D04H1/4326;;D04H1/4391;;D04H1/46;;D06C7/04,"FLAMEPROOF POLYPHENYLENE ETHER FORMED BODY, FLAMEPROOF POLYPHENYLENE ETHER FIBER FORMED BODY, CARBON FORMED BODY, ACTIVATED CARBON FORMED BODY, AND METHOD FOR MANUFACTURING SAME A flameproof polyphenylene ether formed body of the present invention has a minimum value (%/° C.) of −0.40%/° C. or more and −0.10%/° C. or less in a differential thermogravimetric curve in a range of 400° C. to 550° C.",
34,"Core wire for drive belt, drive belt, and method for manufacturing core wire and drive belt","A core wire for a power-transmission belt includes a plied twisted cord formed by putting together and secondary twisting a plurality of primary twisted yarns. The primary twisted yarns include a plurality of hard primary twisted yarns (A) and one soft primary twisted yarn (B). The hard primary twisted yarns (A) include an aramid fiber, and a fineness of each hard primary twisted yarn (A) is 1500 dtex or less. The soft primary twisted yarn (B) includes a low elastic modulus fiber. A ratio (B/A) of a primary twist coefficient of the soft primary twisted yarn (B) to an average value of primary twist coefficients of the hard primary twisted yarns (A) is 0.5 to 1.2.",D02G3/28;;F16G5/20;;D10B2331/021;;D02G3/447;;F16G5/08;;D02G3/04;;D02G3/28;;D02G3/44;;F16G1/10;;F16G1/28,F16G1/10;;D02G3/04;;D02G3/28;;D02G3/44;;F16G1/28,"Core wire for drive belt, drive belt, and method for manufacturing core wire and drive belt A core wire for a power-transmission belt includes a plied twisted cord formed by putting together and secondary twisting a plurality of primary twisted yarns. The primary twisted yarns include a plurality of hard primary twisted yarns (A) and one soft primary twisted yarn (B). The hard primary twisted yarns (A) include an aramid fiber, and a fineness of each hard primary twisted yarn (A) is 1500 dtex or less. The soft primary twisted yarn (B) includes a low elastic modulus fiber. A ratio (B/A) of a primary twist coefficient of the soft primary twisted yarn (B) to an average value of primary twist coefficients of the hard primary twisted yarns (A) is 0.5 to 1.2.",
35,Filter screen,"The invention relates to a filter screen. Specifically, the invention relates to a filter screen with warp threads and weft threads, the warp threads and the weft threads are interwoven and form a filter cloth together, and the filter cloth is provided with a side face facing a filter cake and a side face facing away from the filter cake when the filter cloth is in a use position. Wherein at least some of the warp threads of the filter screen are made of ultra-high molecular weight polyethylene, characterized in that at least 25% of the warp threads are made of ultra-high molecular weight polyethylene to achieve enhanced wear resistance of the filter screen.",B01D39/083;;B01D25/12;;D03D15/283;;D03D15/292;;D10B2505/04;;D10B2321/021;;D03D9/00;;B01D39/083;;B01D2239/0613;;B01D2239/0636;;D03D15/283;;D03D15/47;;B01D25/12;;B01D39/083;;B01D2239/0208;;B01D2239/0216;;D03D1/00;;D03D9/00;;D10B2321/0211;;D10B2321/022;;D10B2403/0114;;D10B2505/04,B01D39/08;;B01D25/12,"Filter screen The invention relates to a filter screen. Specifically, the invention relates to a filter screen with warp threads and weft threads, the warp threads and the weft threads are interwoven and form a filter cloth together, and the filter cloth is provided with a side face facing a filter cake and a side face facing away from the filter cake when the filter cloth is in a use position. Wherein at least some of the warp threads of the filter screen are made of ultra-high molecular weight polyethylene, characterized in that at least 25% of the warp threads are made of ultra-high molecular weight polyethylene to achieve enhanced wear resistance of the filter screen.",
36,Weather proof insulating textile fabric composite,"A weather resistant, vertically foldable, insulating, multi-layered textile composite is provided having a first outer layer composed of a knitted textile fabric with tightly interlaced synthetic textile yarns, which layer has water repellency properties. A second layer next to the first layer is composed of a tightly woven textile fabric having a flexible, polymeric essentially closed cell foam coating attached thereto. A third layer next to the second layer is composed of a non-woven batt of insulating textile fibers. A fourth layer next to the third layer is composed of an impervious synthetic polymeric film. A fifth layer next to the fourth layer is composed of a non-woven batt of chemical resistant textile fibers. A sixth inside layer next to the fifth layer is composed of a knitted textile fabric having tightly interlaced synthetic textile yarns, which layer has water repellency properties. The said layers are stitched together by rows of stitches of synthetic textile yarns, which rows of stitches are at least horizontally disposed such that the composite is vertically foldable. The composite has an insulating R value of at least 3 at a total composite thickness of at least less than 0.50 inch.",B32B5/24;;D06N3/0036;;D06N3/0063;;D06N3/045;;D06N3/123;;D06N3/125;;D06N2205/023;;D06N2205/04;;D06N2209/128;;D06N2209/143;;D06N2209/1692;;Y10T428/24033;;Y10T428/249981;;Y10T442/3341;;Y10T442/3358;;Y10T442/3854;;B32B5/24;;B32B5/022;;B32B5/06;;B32B5/245;;B32B2307/304;;B32B2307/712;;B32B2307/714;;B32B2307/7265;;B32B2307/73;;B32B2419/00;;D06N3/0036;;D06N3/0063;;D06N3/045;;D06N3/123;;D06N3/125;;D06N2205/023;;D06N2205/04;;D06N2209/128;;D06N2209/143;;D06N2209/1692;;Y10T428/24033;;Y10T428/249981;;Y10T442/3341;;Y10T442/3358;;Y10T442/3854,B32B5/24;;D06N7/00,"Weather proof insulating textile fabric composite A weather resistant, vertically foldable, insulating, multi-layered textile composite is provided having a first outer layer composed of a knitted textile fabric with tightly interlaced synthetic textile yarns, which layer has water repellency properties. A second layer next to the first layer is composed of a tightly woven textile fabric having a flexible, polymeric essentially closed cell foam coating attached thereto. A third layer next to the second layer is composed of a non-woven batt of insulating textile fibers. A fourth layer next to the third layer is composed of an impervious synthetic polymeric film. A fifth layer next to the fourth layer is composed of a non-woven batt of chemical resistant textile fibers. A sixth inside layer next to the fifth layer is composed of a knitted textile fabric having tightly interlaced synthetic textile yarns, which layer has water repellency properties. The said layers are stitched together by rows of stitches of synthetic textile yarns, which rows of stitches are at least horizontally disposed such that the composite is vertically foldable. The composite has an insulating R value of at least 3 at a total composite thickness of at least less than 0.50 inch.",
37,Antistatic natural and synthetic textile materials which have been treated with salts of orthophosphoric or polyphosphoric acid,"Natural and synthetic textile materials and blends thereof are disclosed containing at least one water-soluble, neutral alkanolamine, ammonium or mixed alkanolamine and ammonium salt of a phosphoric acid wherein said acid is selected from the group consisting of orthophosphoric acid and polyphosphoric acid. Polyester-cotton fabrics are rendered antistatic by treatment with these ionic bonded salts in the proportion of about 0.5 to about 10 percent by weight based on the weight of the textile fabric.",D06M11/70;;D06M11/72;;D06M13/322;;Y10S428/922;;Y10T428/2969;;Y10T442/2443;;D06M11/70;;D06M11/72;;D06M13/322;;Y10S428/922;;Y10T428/2969;;Y10T442/2443,D06M11/70;;D06M11/72;;D06M13/322,"Antistatic natural and synthetic textile materials which have been treated with salts of orthophosphoric or polyphosphoric acid Natural and synthetic textile materials and blends thereof are disclosed containing at least one water-soluble, neutral alkanolamine, ammonium or mixed alkanolamine and ammonium salt of a phosphoric acid wherein said acid is selected from the group consisting of orthophosphoric acid and polyphosphoric acid. Polyester-cotton fabrics are rendered antistatic by treatment with these ionic bonded salts in the proportion of about 0.5 to about 10 percent by weight based on the weight of the textile fabric.",
38,FLAME RETARDANT FOR POLYESTER TEXTILE MATERIALS,,C08K5/5398;;C07F9/657118;;C07F9/657136;;C07F9/65742;;C07F9/65746;;C08K5/527;;C08K5/5398;;C07F9/657118;;C07F9/657136;;C07F9/65742;;C07F9/65746;;C08K5/527,C08K5/00;;C07F9/6571;;C07F9/6574;;C08K5/52;;C08K5/527;;C08K5/5398;;C08L67/00;;D01F1/07;;D06M13/02;;D06M13/244;;D06M13/282;;D06M13/288;;D06M13/29;;D06M13/292;;D06M13/298,,
39,Quantitative determination method for fiber content of viloft fiber and acrylic fiber or spandex blended textiles,"A provided quantitative determination method for fiber content of viloft fiber and acrylic fiber or spandex blended textiles comprises the following steps: S1, putting viloft fiber and acrylic fiber or spandex blended textiles in a baking box with a constant temperature of 102-108 DEG C to bake to dry, then rapidly taking out and putting in a dryer to cool to room temperature, and weighing the mass of the blended textiles and recording as m0; S2, putting the blended textiles in N,N-dimethylformamide or N,N-dimethylacetamide according to the sample (g) to reagent (mL) bath ratio of 1:100-200, continuously shaking at 90-100 DEG C for 5-30 min; and S3, washing fiber indissolvable in N,N-dimethylformamide or N,N-dimethylacetamide reagent in the step S2 with water to neutral, putting in a baking box with a constant temperature of 102-108 DEG C to bake to dry, rapidly taking out and putting in a dryer to cool to room temperature, and weighing the residual mass of the blended textiles and recording as m1. The dissolving temperature is controlled at 90-100 DEG C, and the method has extremely high accuracy and helps to substantially shorten the detection time.",,G01N5/04,"Quantitative determination method for fiber content of viloft fiber and acrylic fiber or spandex blended textiles A provided quantitative determination method for fiber content of viloft fiber and acrylic fiber or spandex blended textiles comprises the following steps: S1, putting viloft fiber and acrylic fiber or spandex blended textiles in a baking box with a constant temperature of 102-108 DEG C to bake to dry, then rapidly taking out and putting in a dryer to cool to room temperature, and weighing the mass of the blended textiles and recording as m0; S2, putting the blended textiles in N,N-dimethylformamide or N,N-dimethylacetamide according to the sample (g) to reagent (mL) bath ratio of 1:100-200, continuously shaking at 90-100 DEG C for 5-30 min; and S3, washing fiber indissolvable in N,N-dimethylformamide or N,N-dimethylacetamide reagent in the step S2 with water to neutral, putting in a baking box with a constant temperature of 102-108 DEG C to bake to dry, rapidly taking out and putting in a dryer to cool to room temperature, and weighing the residual mass of the blended textiles and recording as m1. The dissolving temperature is controlled at 90-100 DEG C, and the method has extremely high accuracy and helps to substantially shorten the detection time.",
40,Heat-insulation composite textile fabric and preparation method thereof,"The invention discloses a preparation method of a heat insulation composite textile fabric. The preparation method comprises the following steps: step 1, preparing a moisture permeable layer; 2, preparing a heat insulation layer; 3, preparing a comfortable layer; and 4, sequentially sewing the moisture permeable layer, the heat insulation layer and the comfortable layer by using Nomex twisted yarns as sewing lines to obtain the heat insulation composite textile fabric. In the step S2, a treatment solution is prepared from zirconium nitrate and yttrium nitrate, cotton is soaked in the treatment solution to prepare precursor fibers, then calcination and sintering are performed to prepare hollow fibers, and in the step S3, flexible fibers and the hollow fibers are blended to prepare the heat insulation layer; the flexible fibers and the hollow fibers can endow the heat insulation layer with excellent heat insulation performance; and the moisture-permeable fiber is of a hollow structure, and nano titanium dioxide is added, so that the surface roughness and pores of the prepared fiber can be increased, the moisture-permeable fiber is endowed with excellent air and moisture permeability, and a moisture-permeable layer woven by the moisture-permeable fiber has excellent moisture permeability.",B32B5/08;;B32B5/06;;B32B5/26;;B32B33/00;;B32B2250/20;;B32B2262/0223;;B32B2262/0253;;B32B2262/0269;;B32B2262/04;;B32B2262/10;;B32B2262/14;;B32B2307/304;;B32B2307/724;;D01F1/10;;D01F6/48;;D01F9/08,B32B27/02;;B32B5/06;;B32B9/00;;B32B9/04;;B32B23/02;;B32B23/10;;B32B27/12;;B32B27/18;;B32B27/30;;B32B27/32;;B32B27/34;;B32B33/00;;D01F1/10;;D01F6/48;;D01F9/08,"Heat-insulation composite textile fabric and preparation method thereof The invention discloses a preparation method of a heat insulation composite textile fabric. The preparation method comprises the following steps: step 1, preparing a moisture permeable layer; 2, preparing a heat insulation layer; 3, preparing a comfortable layer; and 4, sequentially sewing the moisture permeable layer, the heat insulation layer and the comfortable layer by using Nomex twisted yarns as sewing lines to obtain the heat insulation composite textile fabric. In the step S2, a treatment solution is prepared from zirconium nitrate and yttrium nitrate, cotton is soaked in the treatment solution to prepare precursor fibers, then calcination and sintering are performed to prepare hollow fibers, and in the step S3, flexible fibers and the hollow fibers are blended to prepare the heat insulation layer; the flexible fibers and the hollow fibers can endow the heat insulation layer with excellent heat insulation performance; and the moisture-permeable fiber is of a hollow structure, and nano titanium dioxide is added, so that the surface roughness and pores of the prepared fiber can be increased, the moisture-permeable fiber is endowed with excellent air and moisture permeability, and a moisture-permeable layer woven by the moisture-permeable fiber has excellent moisture permeability.",
41,PRODUCING METHOD OF HIGH WATER-RESISTANT POLYURETHANE COATING RESIN RECYCLED A SPANDEX AND COATING TEXTILE ADAPTED THE SAME,"본 발명은 스판덱스를 재활용한 고내수성 폴리우레탄 코팅 수지의 제조방법 및 이를 적용한 코팅 원단에 관한 것으로, 스판덱스 폐사(a) 10 ~ 20중량%와 용제(b) 20 ~ 40중량%를 혼합한 뒤, 글리콜 및/또는 아민(c) 1 ~ 12중량%를 투입하여 스판덱스를 1차 해중합하는 단계; 상기 1차 해중합된 스판덱스의 분해특성 조절을 위해 NaOH(d) 0.1 ~ 5중량%를 혼합 교반하여 2차 해중합 및 분해도를 조정한 뒤, 산으로 중화하여 스판덱스 해중합 수지(Ⅰ)를 제조하는 단계; 평균분자량 600 ~ 2500 범위의 폴리에테르 폴리올(e) 5 ~ 20중량%와 평균분자량 1000 ~ 4000 범위의 폴리에스테르 폴리올(f) 3 ~ 12중량%와 용제(g) 20 ~ 40중량%를 천천히 투입한 뒤, 이소시아네이트(h) 1.5 ~ 8중량%의 비율로 반응시켜 프리폴리머(Ⅱ)를 제조하는 단계; 상기 제조된 프리폴리머(Ⅱ)에 스판덱스 해중합 수지(Ⅰ)를 투입하여 교반하는 단계; 여기에, 쇄연장제(i) 0.2 ~ 3중량%를 투입하여 반응을 조정하는 단계로 이루어지며, 본 발명의 제조방법으로 제조된 스판덱스를 재활용한 고내수성 폴리우레탄 코팅 수지는 스판덱스 폐사를 효과적인 화학적 재활용 방법인 글리콜이나 아민을 이용하여 해중합하고 NaOH와 산으로 중화하여 안정적인 점도특성을 가지는 스판덱스 해중합 수지를 사용함으로 인해 상용성이 우수하고 시간이 경과되어도 점도 상승을 최소화하여 우수한 가공성을 가지며, 이에 폴리에테르 폴리올과 폴리에스테르 폴리올을 적정한 비율로 혼합 반응시켜 제조한 프리폴리머와 교반하면서 쇄연장제를 투입하여 반응을 조정함으로써 이를 섬유 원단에 코팅할 경우, 내구성과 코팅성이 우수하고 가공성이 양호한 효과가 있다.",Y02W30/62;;C08G18/4018;;C08G18/10;;D06M15/564;;C08J11/28,C08G18/40;;C08G18/10;;C08J11/28;;D06M15/564,"PRODUCING METHOD OF HIGH WATER-RESISTANT POLYURETHANE COATING RESIN RECYCLED A SPANDEX AND COATING TEXTILE ADAPTED THE SAME 본 발명은 스판덱스를 재활용한 고내수성 폴리우레탄 코팅 수지의 제조방법 및 이를 적용한 코팅 원단에 관한 것으로, 스판덱스 폐사(a) 10 ~ 20중량%와 용제(b) 20 ~ 40중량%를 혼합한 뒤, 글리콜 및/또는 아민(c) 1 ~ 12중량%를 투입하여 스판덱스를 1차 해중합하는 단계; 상기 1차 해중합된 스판덱스의 분해특성 조절을 위해 NaOH(d) 0.1 ~ 5중량%를 혼합 교반하여 2차 해중합 및 분해도를 조정한 뒤, 산으로 중화하여 스판덱스 해중합 수지(Ⅰ)를 제조하는 단계; 평균분자량 600 ~ 2500 범위의 폴리에테르 폴리올(e) 5 ~ 20중량%와 평균분자량 1000 ~ 4000 범위의 폴리에스테르 폴리올(f) 3 ~ 12중량%와 용제(g) 20 ~ 40중량%를 천천히 투입한 뒤, 이소시아네이트(h) 1.5 ~ 8중량%의 비율로 반응시켜 프리폴리머(Ⅱ)를 제조하는 단계; 상기 제조된 프리폴리머(Ⅱ)에 스판덱스 해중합 수지(Ⅰ)를 투입하여 교반하는 단계; 여기에, 쇄연장제(i) 0.2 ~ 3중량%를 투입하여 반응을 조정하는 단계로 이루어지며, 본 발명의 제조방법으로 제조된 스판덱스를 재활용한 고내수성 폴리우레탄 코팅 수지는 스판덱스 폐사를 효과적인 화학적 재활용 방법인 글리콜이나 아민을 이용하여 해중합하고 NaOH와 산으로 중화하여 안정적인 점도특성을 가지는 스판덱스 해중합 수지를 사용함으로 인해 상용성이 우수하고 시간이 경과되어도 점도 상승을 최소화하여 우수한 가공성을 가지며, 이에 폴리에테르 폴리올과 폴리에스테르 폴리올을 적정한 비율로 혼합 반응시켜 제조한 프리폴리머와 교반하면서 쇄연장제를 투입하여 반응을 조정함으로써 이를 섬유 원단에 코팅할 경우, 내구성과 코팅성이 우수하고 가공성이 양호한 효과가 있다.",
42,ACRYLIC FIBER,"PROBLEM TO BE SOLVED: To obtain an acrylic fiber having excellent transparent and glossy look and capable of expressing both soft touch and diversified appearance characteristics which allows a variety of designs as a fake fur when used in the form of a textile product, particularly a plush fabric such as high-pile or boa. SOLUTION: This acrylic fiber is obtained by wet spinning of a copolymer containing 35-60 wt.% of acrylonitrile using acetone as the solvent. The acrylic finer thus obtained has the following characteristics: light transmittance in the cross direction is >=88%, there is a >=30 μm straight portion in the major axial direction of the fiber section, and the maximum surface reflectance per fineness (dtex) is >2.1.",,D01F6/18;;D01F6/40,"ACRYLIC FIBER PROBLEM TO BE SOLVED: To obtain an acrylic fiber having excellent transparent and glossy look and capable of expressing both soft touch and diversified appearance characteristics which allows a variety of designs as a fake fur when used in the form of a textile product, particularly a plush fabric such as high-pile or boa. SOLUTION: This acrylic fiber is obtained by wet spinning of a copolymer containing 35-60 wt.% of acrylonitrile using acetone as the solvent. The acrylic finer thus obtained has the following characteristics: light transmittance in the cross direction is >=88%, there is a >=30 μm straight portion in the major axial direction of the fiber section, and the maximum surface reflectance per fineness (dtex) is >2.1.",
43,Polyamide and polyester textiles shrinking - and bulking,"Fleeces or woven or knitted goods are shrunk and bulked by treatment with an org solvent first at low temp (about 15 mins at 15 degrees C) and then at the boiling point for as long as necessary. The process may be combined with other finishing processes, such as bleaching or dyeing, using the solvent required or that process.",D06P1/928;;D06M23/10,D06M23/10;;D06P1/92,"Polyamide and polyester textiles shrinking - and bulking Fleeces or woven or knitted goods are shrunk and bulked by treatment with an org solvent first at low temp (about 15 mins at 15 degrees C) and then at the boiling point for as long as necessary. The process may be combined with other finishing processes, such as bleaching or dyeing, using the solvent required or that process.",
44,NOVEL ANTIBACTERIAL BREATHABLE FABRIC AND PREPARATION METHOD THEREOF,"The disclosure relates to the technical field of nonwoven fabric manufacturing, in particular to a novel antibacterial breathable fabric and a preparation method thereof. The preparation method includes following steps: S1, surface hot rolling treatment: performing the surface hot rolling treatment on a fiber mesh layer, where a lower surface of the fiber mesh layer is supported by a flexible belt, and a hot rolling member contacts and hot rolls an upper surface of the fiber mesh layer, so as to prepare the fiber mesh layer with fibers on the upper surface thermally bonded and fibers on the lower surface fluffy; and S2, spunlace processing treatment: performing the spunlace processing treatment on the lower surface of the fiber mesh layer prepared in the S1; and the flexible belt is made of a high-temperature resistant flexible material.",D04H1/724;;D04H1/492;;D04H1/558;;D04H1/492;;D04H1/558;;D04H1/724;;D01D5/11;;D04H3/14;;D01D10/02;;D01D10/06;;D04H1/4291;;D04H1/558;;D04H1/724;;D10B2321/021;;D10B2401/02;;D10B2401/063;;D10B2401/13;;D10B2403/0111;;D10B2501/04;;D02J13/005,D04H1/558;;D04H1/4291;;D04H1/724,"NOVEL ANTIBACTERIAL BREATHABLE FABRIC AND PREPARATION METHOD THEREOF The disclosure relates to the technical field of nonwoven fabric manufacturing, in particular to a novel antibacterial breathable fabric and a preparation method thereof. The preparation method includes following steps: S1, surface hot rolling treatment: performing the surface hot rolling treatment on a fiber mesh layer, where a lower surface of the fiber mesh layer is supported by a flexible belt, and a hot rolling member contacts and hot rolls an upper surface of the fiber mesh layer, so as to prepare the fiber mesh layer with fibers on the upper surface thermally bonded and fibers on the lower surface fluffy; and S2, spunlace processing treatment: performing the spunlace processing treatment on the lower surface of the fiber mesh layer prepared in the S1; and the flexible belt is made of a high-temperature resistant flexible material.",
45,Elastic textile fireproof fabric,"The invention relates to an elastic textile fireproof fabric comprising a fabric body. The fabric body has a network structure interwoven with warps and wefts. Memory fiber polyester is adopted as the wefts. A flax fiber core layer (3) is coated on the front side of the fabric body. A ramie fiber layer (4) is coated on the surface of the flax fiber core layer. A flame-retardant layer (5) is coated on the surface of the ramie fiber layer. Flame-retardant powder is adhered to the flame-retardant layer. A flock layer (6) is coated on the surface of the flame-retardant layer (5). A substrate layer is coated on the back side of the fabric body. The substrate layer is prepared with a textile product with a weaving rule of 1-0/5-6 double-sided warp knitting with ground yarn of FDY84D/36F polyester filament yarn and spandex yarn and surface yarn of 75D/144F polyester drawn textured yarn and spandex yarn. The fabric provided by the invention has good breathability and high comfortableness. According to the invention, spandex filament is added to a common fabric, and the fabric is woven with a 1-0/5-6 rule. The fabric has good drape and wrinkle resistance.",B32B5/02;;B32B5/16;;B32B9/02;;B32B9/047;;B32B27/12;;B32B33/00;;B32B2262/0276;;B32B2262/0292;;B32B2262/06;;B32B2307/3065;;B32B2307/50;;B32B2307/51,B32B5/16;;B32B9/02;;B32B9/04;;B32B27/02;;B32B27/12;;B32B33/00,"Elastic textile fireproof fabric The invention relates to an elastic textile fireproof fabric comprising a fabric body. The fabric body has a network structure interwoven with warps and wefts. Memory fiber polyester is adopted as the wefts. A flax fiber core layer (3) is coated on the front side of the fabric body. A ramie fiber layer (4) is coated on the surface of the flax fiber core layer. A flame-retardant layer (5) is coated on the surface of the ramie fiber layer. Flame-retardant powder is adhered to the flame-retardant layer. A flock layer (6) is coated on the surface of the flame-retardant layer (5). A substrate layer is coated on the back side of the fabric body. The substrate layer is prepared with a textile product with a weaving rule of 1-0/5-6 double-sided warp knitting with ground yarn of FDY84D/36F polyester filament yarn and spandex yarn and surface yarn of 75D/144F polyester drawn textured yarn and spandex yarn. The fabric provided by the invention has good breathability and high comfortableness. According to the invention, spandex filament is added to a common fabric, and the fabric is woven with a 1-0/5-6 rule. The fabric has good drape and wrinkle resistance.",
46,FLEXIBLE BRAIDED GARDEN HOSE,"A flexible garden hose comprising at least one inner first layer (2) made of a first thermoplastic polymer material, at least one reinforcing braided layer ( 3 ) and at least one outer second layer (4) made of a second thermoplastic polymer material. The at least one reinforcing braided layer consists of a first plurality of textile yarns (5) superimposed to a second plurality of textile yarns (6). At least one of the first and second plurality of textile yarns (5,6) comprises at least one first yarn (7,7') consisting of a fiber having an elongation at break of less than 5% at ambient temperature as measured according to DIN EN ISO 2062 and at least one second yarn (8) consisting of a polyester fiber. A process for manufacturing such hose..",F16L11/085;;B29C70/86;;D04C1/02;;D10B2505/02;;F16L11/082,F16L11/08,"FLEXIBLE BRAIDED GARDEN HOSE A flexible garden hose comprising at least one inner first layer (2) made of a first thermoplastic polymer material, at least one reinforcing braided layer ( 3 ) and at least one outer second layer (4) made of a second thermoplastic polymer material. The at least one reinforcing braided layer consists of a first plurality of textile yarns (5) superimposed to a second plurality of textile yarns (6). At least one of the first and second plurality of textile yarns (5,6) comprises at least one first yarn (7,7') consisting of a fiber having an elongation at break of less than 5% at ambient temperature as measured according to DIN EN ISO 2062 and at least one second yarn (8) consisting of a polyester fiber. A process for manufacturing such hose..",
47,Textile fabric,"The utility model discloses a textile fabric. Warps and wefts are respectively asbestos fibers and spandex fibers, wherein the diameter of the asbestos fibers is 13.41 mu. m and the fineness of the asbestos fibers is 316 dtex; the diameter of the spandex fibers is 12.32 mu. m and the fineness of the spandex fibers is 441 dtex; the warp density is 45 per centimeter and the weft density is 23 per centimeter; a reverse twill structure is adopted. The textile fabric is reasonable in structure and good in usability and can meet customers with special demands.",,D03D13/00;;D03D15/242;;D03D15/283;;D03D15/56,"Textile fabric The utility model discloses a textile fabric. Warps and wefts are respectively asbestos fibers and spandex fibers, wherein the diameter of the asbestos fibers is 13.41 mu. m and the fineness of the asbestos fibers is 316 dtex; the diameter of the spandex fibers is 12.32 mu. m and the fineness of the spandex fibers is 441 dtex; the warp density is 45 per centimeter and the weft density is 23 per centimeter; a reverse twill structure is adopted. The textile fabric is reasonable in structure and good in usability and can meet customers with special demands.",
