Lens ID,Combined,Keyphrases,Classifications,Category
040-071-409-533-216,"Wear-resistant bamboo fiber textile fabric The utility model discloses a wear-resistant bamboo fiber textile fabric. The fabric structurally comprises a fabric body, an upper wear-resistant layer, a lower wear-resistant layer, a fixing mechanism and a bamboo fiber layer, the fixing mechanism is composed of a rotating block, antiskid lines, a rotating column, protruding strips, a threaded rod, a lower suction cup, a shell, a threaded sleeveand an upper suction cup. According to the wear-resistant bamboo fiber textile fabric, the fixing mechanism is arranged; cloth is fixed at the lower end of the rotating column; then the rotating block is covered and rotated; the problems that when the bamboo fiber textile cloth needs to be cut or spread, the corners of the cloth are prone to sliding, the cloth is inconvenient to fix, deviation occurs during cutting, and the cut edge is uneven are solved, and the effect of facilitating fixing is achieved.",,;;B32B3/12;;B32B3/08;;B32B9/02;;B32B9/04,naturalTextiles
079-455-339-538-481,"Process for flame-proofing treatment of textile sheet materials and products treated by such process The process is for fireproofing textile sheet materials consisting mainly of combustible fibres, in which expanded graphite in the form of discrete adherent flakes (I) is applied to at least one surface of the textile or to one of the fibre layers forming the sheet. Also claimed is textile fabric treated by this process, based on wool, cotton, flax, sisal, coconut and/or cellulose fibres or combustible synthetic fibres.",,C09K21/02;;D06M11/74;;D06M15/05;;D06M15/11;;D06M15/333;;D06N3/0063;;C09K21/02;;D06M11/74;;D06M15/05;;D06M15/11;;D06M15/333;;D06N3/00,naturalTextiles
052-537-615-048-542,"Textile fabric with good breathable effect The utility model provides a textile fabric with a good breathable effect, and relates to the field of fabrics. The textile fabric with the good breathable effect comprises a flax layer, the bottom ofthe flax layer is bonded with the top of a sweat absorbing layer, an elastic breathable layer is bonded with the bottom of the sweat absorbing layer, an anti-static layer is bonded with the bottom ofthe elastic breathable layer, and a nylon layer is woven at the bottom of the anti-static layer. The utility model discloses a textile fabric with a good breathable effect. An elastic breathable layer is arranged between the sweat absorbing layer and the anti-static layer; when a user does exercises, the elastic breathable layer correspondingly fluctuates due to the change of the exercises, so that the air holes of the elastic terylene, the elastic gauze element and the elastic jean on the elastic breathable layer are enlarged, the breathability is realized, the breathability effect can be correspondingly changed according to the change of the exercises, the breathability effect is good, the comfort level is high, and the reliability is high.",,;;B32B9/02;;B32B3/08;;B32B9/04;;B32B27/06;;B32B27/12;;B32B27/34,naturalTextiles
071-317-891-936-356,"Health-care bamboo fiber textile fabric The invention relates to a health-care bamboo fiber textile fabric comprising a base cloth layer (1) and a fabric layer (2), wherein a far infrared functional interlayer (3) is arranged between the base cloth layer (1) and the fabric layer (2) and is made of far infrared fibers; and the base cloth layer comprises base cloth formed by interweaving warp yarns and weft yarns, wherein both the warp yarns and weft yarns are formed by blending bamboo fibers and organic cotton fibers, an activated carbon powder or bamboo charcoal powder coating is coated on one surface of the base cloth, and a far infrared coating is coated on the other surface of the base cloth. The health-care bamboo fiber textile fabric can take a health-care effect and has favorable heat preservation and antibacterial properties. The bamboo fiber textile fabric disclosed by the invention can take effects of bacterium resistance, bacteriostasis, mold prevention and healthcare, can also take effects of promoting blood circulation of a human body and regulating metabolism, and cannot generate the phenomenon of skin allergy.",,;;B32B9/02;;B32B9/04;;B32B33/00,naturalTextiles
066-537-410-049-259,"Chitin fibre silk fibre blending facial mask The utility model relates to a chitin fibre silk fibre blending facial mask, including chitin fibre silk fibre blending layer, chitin fibre silk fibre blending layer is interweaved mutually by warp group and woof group and forms, warp group and weft threads component do not include NULL's chitin fibre and silk fibre. This chitin fibre silk fibre blending facial mask carries out specific structures's range with chitin fibre and silk fibre to it forms chitin fibre silk fibre blending layer to interweave, and be splendid with the laminating nature of skin by the facial mask that this blending layer is formed, need not to carry out extra notched setting, and the nutrient solution adsorbs totally, the phenomenon of the lower seepage of nutrient solution when having avoided using, great improvement in the past traditional facial mask give people the inconvenience that the cosmetology brought.",,;;A61K8/02;;A61Q19/00;;B32B5/14;;D03D15/00,naturalTextiles
068-755-367-742-573,"Preparation of stretchable wool textiles Wool textiles of enhanced stretch properties are prepared by contacting the textile with a hydroxylic liquid, i.e., ethylene glycol, propylene glycol, glycidol, glycerol, or diethylene glycol, under controlled conditions of time and temperature.",,D06M13/148;;Y10T442/2377;;Y10T442/2762;;D06M13/148;;Y10T442/2377;;Y10T442/2762;;D06M15/53;;D06M13/02;;D06M13/11;;D06M13/144;;D06M13/148;;D06M13/248;;D06M13/256;;D06M101/00;;D06M101/02;;D06M101/10;;D06M101/12,naturalTextiles
087-875-708-278-082,"Textile bag The invention discloses a textile bag, comprising a bag body, wherein the bag body is formed by mixing and braiding cotton and jute; one protective layer is arranged at the inner side of the bag body; the protective layer and the bag body adopt a detachable structure; a lifting handle is arranged at the top of the bag body; the lifting handle is provided with a clamping buckle and side edge openings are respectively arranged at the two sides of the lifting handle; and the whole shape of the bag body is the shape of a coat. The textile bag disclosed by the invention is simple in process and is ingenious in design; the textile bag can be effectively used in our life, such as shopping in a supermarket; the textile bag can be better lifted and used; the textile bag is low in manufacturing cost and is more ventilated; the appearance is more animated and wholly looks like the shape of one coat; and the textile bag has the advantages of simple structure, wide application range, production cost saving and novel design, is a novel design scheme and is good for being popularized and used.",,;;B65D30/10;;B65D30/04;;B65D30/08;;B65D33/12;;B65D33/25,naturalTextiles
092-829-375-033-995,"Smooth rabbit wool textile The invention discloses a smooth rabbit wool textile. According to the smooth rabbit wool textile, warp and weft are woven into a fabric body, wherein the warp is formed by blending nanometer carbon dioxide with viscose, and the weft is formed by blending rabbit wool fiber with natural colorful cotton. The smooth rabbit wool textile has the advantages of being low in cost and good in warmth keeping performance and flexibility.",,D03D15/47;;D02G3/04;;D02G3/042;;D10B2101/02;;D10B2201/02;;D10B2201/24;;D10B2211/01;;D02G3/04;;D03D15/217;;D03D15/225;;D03D15/233;;D03D15/47;;D03D15/50,naturalTextiles
094-555-638-850-469,"Improvements relating to felted fabrics and to hat bodies made therefrom 565,187. Hats. ABBEY, A. (Hat Corporation of America). March 15, 1943, No. 4228. [Class 63] [Also in Group VIII] A fabric for making hats comprises a mixture of fur and/or wool fibres and prolon fibres suitable for felting derived from proteins of relatively high molecular weight, such as soy prolon fibres, the mixture of fibres being intimately felted together. The fabric may consist of 40 per cent wool fibres, 40 per cent fur fibres and 20 per cent soy prolon fibres, or of 50-85 per cent fur fibres with 50-15 per cent of soy prolon fibres. The soy prolon fibres are approximately "" to 1"" long, from 10 to 30 microns in diameter and from 3.5 to 4 in acid pH. In making fabrics or hats by the fur felt process, a mixture of prolon fibres and fur, or fur and wool fibres, is deposited bysuction on a former, the deposited layer being shrunk and felted thereon to form a fabric and, if desired, treated to form a hat body. According to the wool felt process, a carded bat of prolon fibres and wool fibres is wrapped on a former and processed. Specification 564,141 is referred to.",,D04H1/4266;;A42C1/02;;D04H1/08;;D04H1/10;;D04H1/22;;D04H1/08;;D04H1/10;;D04H1/22;;D04H1/4266,naturalTextiles
119-529-777-863-389,"Compound black reactive dye composition, and applications thereof and fiber or fiber textile made thereby The invention relates to a compound black reactive dye composition, and applications thereof and a fiber or fiber textile made thereby, belonging to the field of reactive dyes. Particularly, the invention relates to a compound black reactive dye composition applicable to printing and dyeing cotton, rayon, hemp, regenerative fiber or textiles thereof, or to printing and dyeing polyamide fiber, cellulose fiber, protein fiber or textiles thereof. The invention further relates to applications of the compound black reactive dye composition, and fiber or fiber textile made by the compound black reactive dye composition.",,;;C09B67/22;;D06P1/38;;D06P3/10;;D06P3/24;;D06P3/66,naturalTextiles
114-391-123-860-903,"A METHOD OF PRODUCING PAPER FROM KENAF A method of producing paper comprising the steps of pulping kenaf fibres using sodium hydroxide, sodium sulfide and anthraquinone, bleaching the pulp, beating the kenaf pulp in water to form an aqueous slurry and mixing paper additive to the bleached pulp subjected for paper-making. The Most Illustrative Drawing: FIG. 1",,;;,naturalTextiles
112-806-627-480-583,"Improvements in or relating to yarns or textiles made from such yarns which are manufactured of rabbit's hair Rabbits' hair having reduced tendency to become electrified by friction when incorporated in yarns and textiles is prepared by treating the hairs with aldehydes or formic acid at a pH between 1 and 7 at from room temperature up to 100 DEG C. or in vapour form. Any excess of aldehyde or acid is removed by ammonia or by aeration. The process is particularly applicable to the treatment of Angora rabbit hair. At room temperatures, the process may occupy some days or even weeks, but at temperatures from 30 DEG to 100 DEG C. it may be carried out in a few hours. According to examples, Angora rabbit hair is treated with about 10 per cent of 40 per cent formaldehyde in the presence of sulphuric, phosphoric, hydrochloric, formic, acetic, or chloracetic acids, or it may be treated by formic acid alone. Specifications 243,301, [Class 15 (ii)], and 583,005 are referred to. The Specification as open to inspection under Sect. 91 comprises also the treatment of rabbits' hair with mordants such as soluble salts of magnesium, calcium, zinc, boron, aluminium, tin, and chromium, and the anhydrides of organic acids such as vapours of phthalic acid anhydride, with or without volatile organic bases such as pyridine. Also halogenated organic acids such as trichloracetic acid, or sulphonated substances such as Turkey red oil or naphthalene sulphonic acids, or bromine or chlorine may be used. The prepared hairs may be carded, pressed, stretched or curled, e.g. by pressing against a perforated plate or passing between undulated plates with openings for the admission of treating liquid or vapour. In further examples, rabbit hair is soaked in magnesium acetate solution with or without an aldehyde, in aluminium sulphate solution with or without aldehydes, and in boric acid solution in the presence of sulphuric acid. This subject-matter does not appear in the Specification as accepted.",,D06M13/188;;D06M13/12;;D06M13/12;;D06M13/188,naturalTextiles
132-887-594-932-557,"Ultra-light organic cotton textile fabric and preparation method thereof The invention discloses an ultra-light organic cotton textile fabric and a preparation method thereof. The ultra-light organic cotton textile fabric is woven of warp yarns and weft yarns; the mass ratio of the warp yarns to the weft yarns is 1.0:0.85-0.95; the warp yarns are organic cotton fibers blended with ultra-fine denier polypropylene fibers, and the weight percentage of the organic cotton fibers in the warp yarns is 40-45%; and the weft yarns are soybean fibers blended with the ultra-fine denier polypropylene fibers, and the weight percentage of the soybean fibers in the weft yarns is 20-25%. According to the ultra-light organic cotton textile fabric prepared by the preparation method, the warp yarns are the organic cotton fibers blended with the ultra-fine denier polypropylene fibers, the weft yarns are the soybean fibers blended with the ultra-fine denier polypropylene fibers, therefore, moisture and sweat on the surface of the skin can be quickly absorbed and delivered to anouter layer, and the ultra-light organic cotton textile fabric is dry and breathable to wear, soft in hand feeling, high in skin-touching comfort level, fashionable and beautiful.",,D03D15/00;;D03D15/47;;D06B3/10;;D06B15/00;;D06M11/71;;D06M13/165;;D06M13/188;;D06M13/207;;D06M13/335;;D06M2101/04;;D06M2101/06;;D06M2101/20;;D10B2201/02;;D10B2211/26;;D10B2321/022;;D03D15/217;;D03D15/233;;D03D15/283;;D03D15/33;;D03D15/47;;D03D15/54;;D03D15/56;;D06B3/10;;D06B15/00;;D06M11/71;;D06M13/165;;D06M13/188;;D06M13/207;;D06M13/335;;D06M101/04;;D06M101/06;;D06M101/20,naturalTextiles
131-233-479-546-109,Catamenial tampon - with rayon fibres projection through crepe paper layer The absorbency of a tampon made from a combination of crepe paper and rayon layers in the ratio 1-1 is made comparable to that of the more expensive all rayon tampon by tufting the rayon layer through the crepe paper layer so that when in posn the rayon tufts project transversely outwards. Typically there are 800 tufts per sq. in which are produced by forcing barbed needles through the rayon and crepe layers.,,D04H1/4258;;A61F13/15731;;D04H1/46;;D04H11/08;;A61F13/15;;D04H1/4258;;D04H1/46,naturalTextiles
135-459-197-742-31X,"Hemp textile The invention discloses a hemp textile which is formed by blending hemp fiber and other fiber including one or more of cotton fiber, tencel fiber and modal fiber. A manufacturing process of the hemp textile includes the following steps: raw material growth, mixing and loosening, lapping, sliver generating, pre-drawing, sliver lapping, combing, drawing, roving generating, spun yarn generating, spooling, warping, sizing, drafting, weaving, settling and packaging. By blending the hemp fiber, the cotton fiber, the tencel fiber and the modal fiber and by means of special fabrication processing, the hemp textile is soft in touch, smooth and straight, natural and comfortable, high in efficiency in processing and production, small in product loss and good in quality, improves the industry-university-research cooperation organizational degree, integrates hemp industry technology innovation resources, guarantees close join of scientific achievements and production practice, combines textile manufacturing and military supply devices closely and achieves fast industrialization of hemp research results.",,;;D03D15/217;;D03D15/225;;D03D15/47,naturalTextiles
138-773-023-677-305,"Banana technical fiber and flax blended sofa fabric The utility model provides a banana technical fiber and flax blended sofa fabric. Warps and wefts of the fabric are yarns obtained by blending 10.5s-40s banana technical fibers and flaxes; the content of the banana technical fibers is 30-45 percent; a fabric textile adopts a plain structure; the fabric is a strip-type yarn dyed fabric. The banana technical fiber and flax blended sofa fabric has the beneficial effects that the banana technical fibers and the flaxes which are green environment-friendly fibers with slightly close properties are used as raw materials; a series of sofa fabrics woven by randomly matching the banana technical fibers and the flaxes on the basis of several of plain colors by a yarn dyeing method are natural in color, stain-resistant, quiet in color and elegant, have the effects of adjusting the temperature, resisting allergy, preventing static electricity and resisting antibiosis, are energy-saving and environment-friendly and provides new materials for creating a high-level household environment.",,;;D03D13/00;;D03D15/217;;D03D15/47;;D03D15/50;;D03D15/533;;D03D15/54,naturalTextiles
142-522-502-667-41X,"MANUFACTURING METHOD FOR COIR NET PURPOSE: A manufacturing method for a coir net is provided to shorten a period of construction, to simplify construction work, and to secure visual vegetation state completely. CONSTITUTION: The manufacturing method for a coir net(100) comprises the steps of dyeing natural textiles in green, weaving the coir net(100) using the dyed natural textiles(110), rolling up both edges of a coir net inward, and binding up the outer circumference of the rolled part(120) using a binder(130).",,E02D17/202;;E02D2300/0065;;E02D17/20;;A01G1/00;;C09K17/00,naturalTextiles
137-428-375-535-147,"Bamboo fiber and modal four-side elastic fabric and weaving technology thereof The invention discloses a bamboo fiber and modal four-side elastic fabric and a weaving technology thereof, and relates to the technical field of textile production and weaving. Warp and weft of the bamboo fiber and modal double-elastic jacquard fabric are bamboo fiber/modal (50/50)13.1+40 D, the warp and weft density of the fabric is 385.5/295/10 cm, and the fabric width is 208.5 cm. The technology includes the following procedures of spooling, warping, slashing, denting, weaving and sorting. An existing air jet loom is used for producing the bamboo fiber and modal double-elastic jacquard fabric, a tension sheet is added during warping, the problem that the warp is lengthened during weaving by changing the structure of the fabric is solved, performance advantages of bamboo fiber and modalfibers can be fully achieved, and the application field of textile products is expanded.",,D03D15/56;;D02G3/045;;D02G3/328;;D02H7/00;;D02H13/26;;D03D47/30;;D03D15/56;;D02G3/04;;D02G3/32;;D02H7/00;;D02H13/26;;D03D47/30,naturalTextiles
155-459-733-164-281,"Ramie textile finishing agent, finishing method and application The invention discloses a ramie textile finishing agent, a finishing method and application, and relates to the technical field of textile finishing. The ramie textile finishing agent comprises the following components in parts by weight: 0.2-5 parts of pectinase; 0.1 to 0.5 part of a metal salt; and 0.1 to 5 parts of a nonionic surfactant. According to the ramie textile finishing agent, the length of hairiness on the surface of a ramie textile treated by the ramie textile finishing agent can be reduced, the compression specific work of the ramie textile can be reduced, then the scratchiness feeling of the ramie textile is remarkably reduced, the influence of the ramie textile finishing agent on the structure and breaking strength of the ramie textile is small, and after treatment, the service life of the ramie textile is prolonged. And the loss rate of the breaking strength can be lower than about 10%.",,;;D06M16/00;;D06M11/13;;D06M13/513;;D06M15/53;;D06M101/06,naturalTextiles
196-274-050-199-457,"Mosquito-repelling textile composite fabric The invention discloses a mosquito-repelling textile composite fabric which comprises a base cloth layer, a natural fabric layer, a mosquito-repelling layer and PU bonding layers, wherein the base cloth layer, the natural fabric layer and the mosquito-repelling layer are successively connected through bonding by the PU bonding layers, and the natural fabric layer comprises a mixed fabric of one or two selected from the group consisting of a hemp flannelette, a yarn-dyed fabric and a yarn flannelette. Thus, the mosquito-repelling textile composite fabric provided by the invention has good insect and mosquito repelling effects and beautiful appearance and is comfortable to wear.",,;;B32B27/06;;B32B33/00,naturalTextiles
018-025-829-649-771,"Anti-fracture textile yarn The utility model provides an anti-fracture textile yarn. The anti-fracture textile yarn comprises a nylon main rope and a winding thread, the outer side of the nylon main rope is provided with flax filaments, the outer side of the flax filaments is provided with a protective layer, and the flax filaments are tightly attached to the protective layer; the winding wire is tightly attached to the outer side of the protective layer, and a shell is arranged on the outer side of the winding wire. According to the utility model, the linen yarns are annularly arranged on the outer side of the nylon main rope, so that the flexibility of the yarns can be enhanced, the yarns cannot be broken after being repeatedly bent and folded, the nylon main rope is protected, and the concave grooves are uniformly arranged on the inner surface of the protective layer, so that the flexibility of the yarns is improved. Due to the fact that the protective layer is arranged, when the yarn is bent and folded, the concave grooves in the protective layer can play a role in decomposing and buffering the borne impact force, and the phenomenon that the yarn is broken due to the fact that the flexibility of the yarn is reduced when the yarn is used under the cold condition is prevented.",,;;D02G3/36;;D02G3/04;;D02G3/22;;D02G3/38,naturalTextiles
030-530-070-052-831,"Process for the treatment of raw vegetable fibres 529,808. Refining cellulosic materials. CELEC CORPORATION, Ltd., and TOWNSEND, C. S. June 8, 1939, No. 16806. [Class 2 (ii)] Vegetable fibres e.g. sisal fibres are rendered soft and suitable for spinning by subjecting them to treatment with a strong alkaline solution and then with a weak solution of an acid so as to dissolve the gums, resins, and other binding substances, subjecting the separated fibres to treatment with a swelling agent which is a sodium compound e.g. ,sodium hydrosulphite, removing the harsh silicious covering on the swelled fibres by frictional rubbing, and then softening the fibres by treatment with a wetting agent e.g. a solution of a sulphonated oil. The raw fibres may be boiled in a strong solution of sodium carbonate and then soaked in a 1 per cent solution of sulphuric acid at normal temperature. The separated fibres may then be boiled in a weak solution of sodium hydrosulphite and soda ash whereby they are swollen and also bleached. The frictional rubbing may be effected by passing the fibres on to a rotary disc which operates by an oscillatory movement, the disc being finely channelled radially. The fibres are passed over the disc by means of a conveyer belt which may also be finely channelled. The fibres may be softened by soaking them in an aqueous solution of sulphonated castor oil heated to about 90C. The sodium carbonate solution used in the first stage of the treatment may be rendered caustic by the addition of lime. The liquors used may be filtered, made up to the required strength by addition of fresh reagents, and then used over again for treating a fresh batch of fibres.",,D01C1/02;;D01C1/02,naturalTextiles
042-909-978-655-714,"FLAME RETARDANT TREATMENT OF POLYAMIDE FIBRE MATERIAL 1474031 Flame retardant treatment of polyamides IWS NOMINEE CO Ltd 1 May 1974 [15 May 1973] 23119/73 Headings DIB and DIP [Also in Division C3] A process of improving the flame-resistance of polyamide fibre materials comprises treating the material under acid conditions (pH below 3.5) with an anionic complex of tungsten and with an anionic complex of zirconium or titanium. The finish has improved fastness to alkalies, washing and UV light. The process may be carried out simultaneously with dyeing, e.g. with acid levelling or 1:1 premetallised dyes. The tungsten complex is preferably an isopolytungstate or heteropolytungstate formed by acidifying an aqueous solution of sodium tungstate, with e.g. phosphoric, boric, formic, citric, oxalic, or tartaric acid (formation of heteropolytungstate). The solution is preferably applied at a temperature of at least 30C for at least 10 minutes. The zirconium or titanium complex may be a fluoro-, carboxylato-, or hydroxycarboxylato zirconate or titanate. The treatment may be applied to natural polyamides, e.g. wool, silk, alpaca, cashmere, mohair, leather or natural hair, e.g. wigs, and particularly to wool in blends containing less than 85% wool, e.g. with rayon. nylon, polyester, or polyacrylic and to wool which has been subjected to a resin treatment, e.g. with a blocked isocyanate, a polyamineepichlorohydrin resin or a silicone. The wool fibres may also be blended with asbestos. glass or ""Nomex"" (RTM) fibres. The material may be in_the form of yarn, or woven, knitted or pile fabric. In one Example the process is followed by a silicone treatment, and in others it is preceded by a resin shrink-resist treatment. Specifications 1372694 and 1379752 are referred to.",,D06M11/20;;D06M11/46;;D06M11/48;;D06M11/20;;D06M11/46;;D06M11/48;;D06M11/00;;C08J7/12;;D06M11/20;;D06M11/46;;D06M11/48;;D06M13/188;;D06M13/192;;D06M13/207;;D06M101/00;;D06M101/16;;D06M101/30;;D06M101/34;;D06P3/32,naturalTextiles
