Lens ID,Combined,Keyphrases,Classifications,Category
065-773-873-561-572,"METHOD FOR MANUFACTURING GOLD THREAD WITH NO DRAWING-INDUCED INCONSISTENCY, AND GOLD THREAD MANUFACTURED BY SAME The present invention relates to a method for manufacturing gold thread with no drawing-induced inconsistency, and gold thread manufactured by the method, wherein: gold thread is manufactured by spirally twisting together a plurality of gold rods, each having a relatively smaller thickness than the prior art gold rod, whereby the gold thread ensures sufficient rigidity, and thus inconsistency of the gold thread, induced by drawing of gold, can be eliminated; and the gold thread formed by spirally twisting together a plurality of gold rods has an increased surface area, as compared to the conventional gold thread having the same diameter, and thus can alleviate skin aging and improve antibacterial properties by increasing the frictional force with the skin.",,A61B17/06166;;A61B2017/00526;;A61B2017/00792;;A61L17/04;;D02G3/12;;D02G3/449;;D10B2101/20;;D10B2401/13;;A61L17/04;;A61B17/06166;;D02G3/12;;D02G3/28;;D02G3/448;;A61B17/06166;;A61L17/04;;D02G3/12;;D02G3/28;;D02G3/36;;D02G3/448;;A61B17/06;;A61L17/04,metalTextiles
067-530-851-292-005,Textile with integrated illumination feature The textile with integrated illumination feature is a textile that incorporates electrical components in such a manner that: 1) the textile can be illuminated; and 2) the illumination of the textile can be controlled in a programmable manner. The textile is formed with a plurality of wires that are used to provide circuit connections with a plurality of LEDs that are illuminated using a plurality of control circuits. The plurality of control circuits are controlled using a logic module. The plurality of wires are formed into the textile using a plurality of methods discussed in this disclosure. The plurality of LEDs are then connected into the plurality of wires. The plurality of controls circuits control the voltages on each of the plurality of wires. The logic module is used to control the voltage level generated by the plurality of control circuits.,,D03D1/0088;;D03D15/67;;D10B2101/20;;D10B2401/16;;D10B2401/20;;H05B47/00;;D03D1/0088;;D03D15/67;;D03D25/00;;D10B2101/20;;D10B2401/16;;D10B2401/20;;H05B45/60;;H05B44/00;;D03D25/00,metalTextiles
085-517-310-214-617,"Multi-purpose filter for e.g. food, pharmaceutical filtration has hard woven structure retaining small particles A fleece (2) fibre filter medium (1) has a woven structure (3) with pores. The woven structure retains ultra-small particles smaller than 100 microns that are not held back by the pores. Further claimed is a filter assembly with a commensurate filter insert. The solid weave structure has pores with a nominal size in the range 40 to 1 microns and consists of two or more layers with one woven layer and a second layer of fleece fibres.",,D03D1/00;;B01D39/083;;B01D39/086;;B01D39/2041;;B01D2239/0208;;B01D2239/0216;;B01D2239/065;;B01D2239/0654;;B01D2239/0668;;B01D2239/0672;;B01D2239/0681;;B01D2239/1216;;B01D2239/1233;;B32B3/266;;B32B5/022;;B32B5/024;;B32B5/26;;B32B15/14;;B32B2262/02;;B32B2262/10;;B32B2262/101;;B32B2262/103;;B32B2262/14;;B32B2307/30;;B32B2307/50;;B32B2307/714;;B32B2307/724;;B32B2307/726;;B32B2605/00;;D03D15/247;;D03D15/267;;D03D15/43;;D10B2101/20;;D10B2505/04;;B01D39/08;;B01D39/14;;B01D39/16;;D03D1/00;;D04H1/00,metalTextiles
092-036-004-141-321,"Cushion paper The present invention provides a cushion member and a stage member provided with the cushion member, the cushion member including a non-woven fabric formed by binding or entangling metal fibers, wherein when the cushion member is compressed, the cushion member undergoes compressive deformation and the following compressive deformation ratio is 5% to 80%: Compressive deformation ratio=( T 0− T 1)/ T 0×100, T0: film thickness of cushion member before application of load, andT1: film thickness of cushion member after application and release of load.",,D04H1/4234;;B32B5/022;;B32B27/12;;B32B27/36;;B32B2250/42;;B32B2262/0223;;B32B2262/103;;B32B2262/144;;B32B2307/51;;B32B2307/56;;B32B2307/718;;B32B2554/00;;D04H1/732;;D21H27/002;;F16B43/00;;D04H1/4234;;D10B2101/20;;D10B2401/061;;D21H13/48;;D04H1/4234;;D21H13/48,metalTextiles
093-089-709-185-207,"MATERIAL CAPABLE OF PRODUCING BARRIER EFFECT TOWARDS MAGNETIC AND ELECTROMAGNETIC FIELDS AND/OR THERAPEUTIC EFFECT, CLOTHING OR THE COMPONENT OF CLOTHING, SANITARY CLOTHING, FOOTWEAR OR THE COMPONENT OF FOOTWEAR, ELEMENT OF INTERIOR DECORATION, COVERING OF ELEMENTS OF INTERIOR DECORATION AND COMPONENT OF BED LINEN ",,A61N1/16;;A41D31/04;;D03D15/25;;D10B2101/20;;D10B2501/00;;D10B2501/02;;D10B2501/04;;D10B2501/042;;D10B2501/043;;D10B2501/06;;D10B2503/02;;D10B2503/04;;D10B2503/06;;D10B2505/08;;D10B2509/02;;G21F1/08;;G21F3/02;;Y10T442/3049;;Y10T442/3382;;Y10T442/339;;Y10T442/3976;;A41D31/04;;A61N1/16;;D03D15/25;;D10B2101/20;;D10B2501/00;;D10B2501/02;;D10B2501/04;;D10B2501/042;;D10B2501/043;;D10B2501/06;;D10B2503/02;;D10B2503/04;;D10B2503/06;;D10B2505/08;;D10B2509/02;;G21F1/08;;G21F3/02;;Y10T442/3049;;Y10T442/3382;;Y10T442/339;;Y10T442/3976;;A41D13/00;;A41B17/00;;A41D31/00;;A61F13/06;;A61F13/10;;A61F13/14;;A61N1/14;;A61N1/16;;D03D15/00;;G21F1/08;;G21F3/02,metalTextiles
114-576-938-093-54X,"OVEN GASKET ATTACHMENT CLIPS An oven door seal comprises a braided tubular gasket of wire and a mineral fibre, such as glass fibre, a ceramic or quartz or mixtures thereof. The gasket has the characteristic of a braided structure of radial expansion upon axial compression and radial contraction upon axial extension. Clips of resilient wire are prebent in a common plane so as to have an apexed head formed near the mid point of the wire intermediate parallel sections and crossing end sections are disclosed. The clips are inserted into the gasket with the crossing ends spanning one or more filaments in the lattice structure of the braided tubular gasket and the crossing ends pass through the wall structure and are deflected generally parallel to the wall as the clip wire sections at the apex flex together. The apertures are formed in the oven door perimeter at different spacings depending upon the gasket diameter desired along the edge having a particular spacing and the clip inserted at equal spacings in an oven door. The installed gasket may have a smaller diameter along the hinge side of the door and a larger diameter along the side most remote from the door on account of the variable spacing of the apertures.",,F24C15/021;;D04C1/06;;D10B2101/06;;D10B2101/20;;D10B2505/06;;Y10T24/308;;F24C15/021;;Y10T24/308;;F24C15/02,metalTextiles
117-137-817-106-628,"High temperature dynamic sealing material and preparation method thereof The invention relates to a high temperature dynamic sealing material and a preparation method thereof. The high temperature dynamic sealing material comprises an elastic rope with a diameter of 5-30 millimeters formed by weaving a 500-400- tex fiber cotton thread, a metal net tube coating the outer side of the elastic rope and woven by taking the elastic rope as a forming die tire and a fiber sheath coating the outer side of the metal net tube and woven by taking the metal net tube and the elastic rope as a forming die tire. The preparation method comprises the steps of elastic rope forming, metal net tube coating layer forming, fiber sheath coating layer forming, length cutting and end capping treatment. The high temperature dynamic sealing material has high temperature resistance, high compression resilience performance and heat-sealing compression force adjustable performance, solves the problem of insufficient high temperature sealing comprehensive performance of an existing product, is a high temperature dynamic sealing material with excellent performance, and is suitable for high temperature dynamic sealing and other parts.",,D04C1/02;;D04C1/06;;D04C1/12;;D10B2101/02;;D10B2101/20;;D10B2401/04;;D10B2401/061;;D10B2505/06;;D04C1/12;;D04C1/02;;D04C1/06,metalTextiles
106-916-348-975-882,"TWISTED REINFORCEMENT FIBERS AND METHOD OF MAKING A concrete structure formed of a mixture of concrete and a plurality of custom manufactured twisted steel micro-reinforcements (TSMRs). Each TSMR has a twist pitch of two or more twists per 25.4 mm applied along its longitudinal axis. The TSMRs are made from a common base stock and have the number of twists predetermined such that a concrete structure formed with at least 10 wt. % per unit volume less TSMRs than fibers in a conventional concrete structure exhibits the same or better performance than the conventional concrete structure in one or more of a stress, deflection, energy, or crack mouth opening (CMOD) properties as determined through defined standard tests. The performance requirement may be based on the actual test result and/or the consistency (coefficient of variation of the result).",,C04B14/48;;C04B28/02;;C04B14/48;;C04B2103/0014;;C04B2103/58;;C04B2201/00;;D01F9/08;;D10B2101/20;;C04B28/02;;B28B1/523;;B28C5/402;;C04B14/48;;G01B5/30;;G01N33/38,metalTextiles
116-603-974-365-825,Conductive heating fiber fabric with incision and connection structure thereof ,,D02G3/441;;A47G9/0215;;D02G3/38;;D03D1/0088;;D03D9/00;;D03D15/00;;D03D15/25;;D03D15/47;;D03D15/67;;D10B2101/20;;D10B2401/16;;H05B3/347;;H05B2203/015;;H05B2203/036;;D02G3/441;;A47G9/0215;;D02G3/04;;D02G3/12;;D02G3/38;;D03D15/00;;D03D15/25;;D03D15/47;;D03D15/67;;D10B2101/20;;D10B2401/16;;D10B2403/03;;H05B3/347;;H05B2203/011;;H05B2203/015;;H05B2203/016;;H05B2203/036;;A47G9/00;;D02G3/04;;D02G3/12,metalTextiles
116-637-444-674-570,"COMPOSITE FIBER A composite fiber composed of at least a metal sintered body and a ceramic sintered body. In the composite fiber, the metal sintered body and the ceramic sintered body are adjacent to each other. The composite fiber having the metal sintered body and the ceramic sintered body can have a tensile strength of 5 kgf/mm2 or more.",,B22F7/06;;D01F9/08;;D01D5/34;;B22F1/054;;C22C1/05;;C22C1/0433;;B22F2999/00;;B22F7/062;;C04B37/02;;C04B2237/405;;C04B2237/408;;C04B2237/40;;C04B2237/407;;C04B2237/403;;C04B2237/402;;C04B2237/346;;H10N30/702;;B22F7/08;;B22F2301/15;;B22F2302/25;;C04B35/4682;;C04B35/475;;C04B41/4539;;C04B41/5144;;C04B41/88;;D01F8/18;;D10B2101/08;;D10B2101/20;;D10B2401/063;;D10B2401/16;;H10N30/092;;H10N30/852;;H10N30/702;;B22F7/08;;C04B35/468;;C04B35/475;;C04B41/45;;C04B41/51;;C04B41/88;;D01F8/18;;H10N30/20;;H10N30/30;;H10N30/853,metalTextiles
107-387-871-310-645,"Silver yarn, plied yarn silver yarn, functional fabric using same, and method for producing same The present invention relates to plied silver yarn using silver yarn as thread, wherein the silver yarn is entirely made of silver (Ag) or a silver alloy, to achieve antimicrobial properties and conductivity, as well as to functional fabric using same and to a method for producing same. The plied silver yarn of the present invention uses, as a core yarn, any one of at least one strand of silver yarn and fiber yarn made from natural fiber or synthetic fiber, and uses the other as winding yarn covering the core yarn, wherein said one strand of silver yarn is produced by casting a silver alloy containing pure silver or copper into a wire rod through directional solidification, and making the wire rod into a microfiber having a diameter of 0.015 to 0.05mm through a pulling process.",,D02G3/449;;D02G3/441;;D04B1/16;;D10B2101/20;;D10B2401/16;;Y10T428/12431;;D02G3/12;;D02G3/02;;D04B1/14;;D02G3/449;;D02G3/441;;D04B1/16;;D10B2101/20;;D10B2401/16;;Y10T428/12431;;D02G3/12;;D02G3/02;;D04B1/14,metalTextiles
109-529-650-815-109,"Flexible structures for sensors and electronics This invention provides free-standing structures, functionalized free-standing structures and functional devices that are flexible, including nano- and micromachined flexible fabrics comprising woven networks and mesh networks. The present invention provides processing methods for making and functionalizing flexible free-standing structures having a wide range of integrated materials, devices and device components. The methods of the present invention are capable of providing large area functional electronic, optoelectronic, fluidic, and electromechanical devices and device arrays which exhibit good device performance in stretched, bent and/or deformed configurations.",,H05K1/0289;;B81C99/008;;D03D1/0088;;D03D9/00;;D03D15/258;;D03D15/283;;D10B2101/06;;D10B2101/08;;D10B2101/20;;D10B2401/16;;D10B2401/20;;D10B2403/02431;;H05K1/038;;H05K3/007;;H05K3/202;;H05K3/467;;H05K2201/0281;;H05K2201/029;;H05K2203/0152;;H05K2203/0769;;H05K2203/308;;H10K71/60;;H10K77/111;;Y02E10/549;;Y02P70/50;;Y10S977/701;;Y10S977/724;;Y10S977/856;;Y10S977/857;;Y10T156/1052;;Y10T428/24802;;H05K1/0289;;B81C99/008;;D03D1/0088;;D03D9/00;;D03D15/258;;D03D15/283;;D10B2101/06;;D10B2101/08;;D10B2101/20;;D10B2401/16;;D10B2401/20;;D10B2403/02431;;H05K1/038;;H05K3/007;;H05K3/202;;H05K3/467;;H05K2201/0281;;H05K2201/029;;H05K2203/0152;;H05K2203/0769;;H05K2203/308;;H10K50/805;;H10K71/60;;H10K77/111;;Y02E10/549;;Y02P70/50;;Y10S977/701;;Y10S977/724;;Y10S977/856;;Y10S977/857;;Y10T156/1052;;Y10T428/24802;;B81B5/00;;B81C3/00;;B82B1/00;;B82B3/00,metalTextiles
105-960-545-134-312,"Improvements in the Manufacture of Metallic Fabrics. 14,603. Lake, W. E., [Bek, G., (Firm of)]. June 16. Metallic fabrics. - In the manufacture of metallic fabrics, a braided or like appearance is produced electrolytically by inserting an insulating-plate into the interior of the article, and placing on either side of it two perforated plates of wax &c. d. On these are superposed two similarly perforated hard plates f, and the whole is compressed between gratings q to force the wax into the interstices of the fabric. When the frame is placed in an electrolytic bath, metal is deposited on the bare spaces in the desired pattern.",,B21D47/00;;B21D47/00,metalTextiles
115-002-645-412-539,THREE-DIMENSIONAL NETS FROM NOBLE METALS FOR PERFORMING CATALYTIC REACTIONS OF GASES ,,C01B21/265;;D04B1/14;;D10B2403/021;;D10B2101/20;;D10B2403/0242;;B01J35/58;;C01B21/40;;B01J23/38;;B01J35/00;;C01B21/26,metalTextiles
118-058-162-160-092,"Controllable surface area fabric A fabric ( 1 ) with an adjustable surface area, contour, and/or adjustable portion includes interwoven textiles fibers, at least one shape memory alloy fiber ( 40 ) woven among the textile fibers that alters the surface are of the fabric upon receiving current, and a means for passing current ( 100 ) though the at least one shape memory alloy fiber ( 40 ).",,A41D15/00;;A41D31/00;;C08L2201/12;;D03D1/0088;;D03D15/25;;D03D15/56;;D03D15/567;;D10B2101/20;;D10B2401/046;;D10B2401/061;;D10B2401/16;;D10B2501/00;;D10B2501/02;;D10B2501/041;;D10B2501/042;;D10B2501/043;;H01H2203/0085;;Y10T442/30;;B29C61/06;;D03D15/25;;A41D15/00;;A41D31/00;;C08L2201/12;;D03D1/0088;;D03D15/25;;D03D15/56;;D03D15/567;;D10B2101/20;;D10B2401/046;;D10B2401/061;;D10B2401/16;;D10B2501/00;;D10B2501/02;;D10B2501/041;;D10B2501/042;;D10B2501/043;;H01H2203/0085;;Y10T442/30;;D03D15/567;;B29C61/06,metalTextiles
124-299-060-002-493,"A Protective Wire Net, A Protective Structure Constructed With the Net, and the Use of the Protective Wire Net for the Construction of A Protective Structure A protective wire net comprises an array of longitudinal wires (12) arranged side by side and each interwined with at least one respective adjacent longitudinal wire (12). Each of one or more longitudinal metal cables (14) is also intertwined with at least one adjacent longitudinal wire (12). One or more transverse wires (34) and/or metal cables (16) may also be provided, arranged in a transverse direction relative to the longitudinal wires (12) and outside interwining regions (22) defined by portions (20) of adjacent longitudinal wires (12) which are bent around one another , the transverse wires (34) and /or metal cables (16) being intertwined or interlaced with one or more of the longitudinal wires (12).",,E01F7/045;;B65G1/02;;B65G2207/40;;D04C1/08;;D04C1/02;;D10B2101/20;;D10B2505/204;;D10B2507/02;;E01F7/04;;E01F7/00;;E01F7/045;;B65G1/02;;B65G2207/40;;E01F7/04,metalTextiles
123-155-387-974-228,Microfiber cleaner mixed with metallic yarn ,,A47L17/08;;D03D15/00;;D10B2101/20;;A47L17/08;;A47L17/04,metalTextiles
117-555-772-690-999,Fabric-Based Items Having Strands With Embedded Components A fabric-based item may include fabric formed from intertwined strands of material with embedded circuitry. The strands of material may be formed from dielectric materials such as polymers. The strands of material may be formed from joined segments of polymer strand material or other material. Each joined segment may contain a potentially distinct circuit. Some joined segments may include one or more conductive lines. The conductive lines may run parallel to each other along the length of the joined segments to form circuit interconnects. Conductive lines may be joined to contact pads on integrated circuits and other embedded components formed from semiconductor dies. Control circuitry formed from the integrated circuits embedded in strands of material in the fabric and other control circuitry may be used to control the circuitry embedded in the fabric.,,D03D1/0088;;D03D15/25;;D03D15/292;;D03D15/533;;D10B2101/20;;D10B2401/16;;H01L23/5387;;D02G3/12;;D02G3/36;;D02G3/441;;D03D1/0088;;D03D15/292;;D10B2101/20;;D10B2401/16;;D10B2401/18;;H01L23/5386;;H01L23/5389;;H01L25/0655;;H01L25/0753;;H01L25/167;;H01L25/18;;H01L33/62;;H01L23/538;;D02G3/12;;D02G3/36;;D02G3/44;;G01D11/24;;H01L25/065;;H01L25/075;;H01L25/16;;H01L25/18;;H01L33/62,metalTextiles
128-303-643-318-232,"Woven or knitted fabric prepared from a concave-convex patterned metal fiber yarn The present invention relates to a metal fiber, in which frictional force between metal fibers, entanglement and processability are improved, a metal fiber yarn and a fabric including the same, a method for preparing the fabric and a use thereof. According to the present invention, there is provided a metal fiber having concave-convex patterns formed at intervals of 0.3-50mm in a longitudinal direction of the metal fiber; a metal fiber yarn including a metal fiber having concave-convex patterns formed at intervals of 0.3-50mm in a longitudinal direction of the metal fiber and drawn and the metal fiber yarn has a length of 0.45 m to 10.0m per gram; a fabric prepared from the metal fiber yarn; a method for preparing a fabric, including forming concave-convex patterns in a metal fiber at intervals of 0.3-50mm in a longitudinal direction of the metal fiber, forming a metal fiber yarn having a length of 0.45-10.0mm per gram by using the metal fiber in which the concave-convex patterns are formed, and weaving the metal fiber yarn into a fabric; and a filter material and a burner material made of the fabric. The metal fibers having the concave-convex patterns formed at regular intervals in the longitudinal direction have the improved frictional force between the metal fibers and processability due to the concave-convex patterns on the metal fibers and thus, a metal fiber yarn can be easily made with the metal fiber of the present invention. Further, the metal fiber yarn including the metal fibers maintains its form stably because metal fibers are not released. Also, the metal fiber yarn has a plurality of uniform and fine pores.",,D02G1/14;;B01D39/12;;B21F1/04;;B21F27/18;;B21F45/00;;D02G3/12;;D10B2505/04;;F23D14/149;;F23D14/16;;F23D14/46;;F23D2203/103;;F23D2212/201;;D03D15/25;;B01D39/10;;D02G3/12;;D04B1/14;;D10B2101/20;;D10B2505/00;;D10B2505/04;;D02G1/14;;B01D39/10;;B01D39/12;;B21F1/04;;B21F27/18;;B21F45/00;;D02G3/12;;F23D14/14;;F23D14/16;;F23D14/46,metalTextiles
134-477-324-045-473,"Manufacturing technology of high-tenacity string The invention discloses a manufacturing technology of a high-tenacity string. The high-tenacity string is composed of alloy wires and plastic fibers, wherein the alloy wires are formed by mixing copper and zinc at high temperature, copper accounts for 57wt%-67wt% of the alloy wires, zinc accounts for 33wt%-43wt% of the alloy wires, and the plastic fibers are polyamide fibers and are bonded to the outer surfaces of the alloy wires through a hot melt adhesive. Through the method, the string can be prepared rapidly, the prepared string has relatively high thermal property, the intonation effect of the string is guaranteed, and the integral quality of the string is improved.",,G10D3/10;;B21C37/047;;D02G3/12;;D02G3/40;;D10B2101/20;;G10D3/10;;B21C37/04;;D02G3/12;;D02G3/40,metalTextiles
